fecha,sector,indice,var_interanual
2004-01-01,"Actividades inmobiliarias, empresariales y de alquiler",91.41838181645646,
2004-01-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,97.26126782495695,
2004-01-01,"Agricultura, ganadería, caza y silvicultura",65.99535021807492,
2004-01-01,"Comercio mayorista, minorista y reparaciones",92.06533783698931,
2004-01-01,Construcción,95.9380474530423,
2004-01-01,"Electricidad, gas y agua",99.91798255351931,
2004-01-01,Enseñanza,95.62769506542772,
2004-01-01,Explotación de minas y canteras,100.7044990358751,
2004-01-01,Hoteles y restaurantes,108.41168235047203,
2004-01-01,Impuestos netos de subsidios,98.3148555955895,
2004-01-01,Industria manufacturera,91.45461030871807,
2004-01-01,Intermediación financiera,103.8902559331949,
2004-01-01,"Otras actividades de servicios comunitarios, sociales y personales",97.00617764220874,
2004-01-01,Pesca,42.54786775960567,
2004-01-01,Servicios sociales y de salud,94.19839355990248,
2004-01-01,Transporte y comunicaciones,95.50672550581247,
2004-02-01,"Actividades inmobiliarias, empresariales y de alquiler",94.04697785156941,
2004-02-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,97.88228480743238,
2004-02-01,"Agricultura, ganadería, caza y silvicultura",64.92659776537022,
2004-02-01,"Comercio mayorista, minorista y reparaciones",91.4647184549155,
2004-02-01,Construcción,98.85338769931154,
2004-02-01,"Electricidad, gas y agua",92.89344027217716,
2004-02-01,Enseñanza,96.08424638742525,
2004-02-01,Explotación de minas y canteras,95.41418582146751,
2004-02-01,Hoteles y restaurantes,103.44825644014013,
2004-02-01,Impuestos netos de subsidios,89.72999976417917,
2004-02-01,Industria manufacturera,89.42485185270863,
2004-02-01,Intermediación financiera,96.48146398756707,
2004-02-01,"Otras actividades de servicios comunitarios, sociales y personales",96.83613489123869,
2004-02-01,Pesca,62.440770600668316,
2004-02-01,Servicios sociales y de salud,90.31346220534452,
2004-02-01,Transporte y comunicaciones,90.73641381150813,
2004-03-01,"Actividades inmobiliarias, empresariales y de alquiler",99.64872482538144,
2004-03-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,97.7184588847403,
