fecha,indice_orig,var_yoy,var_acum,indice_desest,var_mom_desest,indice_tend,var_mom_tend
2017-01,99.9259,,,103.7131,,99.258,
2017-02,91.7293,,,99.1912,-4.3601,99.1145,-0.1445
2017-03,95.769,,,96.3295,-2.885,99.0206,-0.0948
2017-04,98.3569,,,98.7303,2.4923,98.983,-0.0379
2017-05,93.2146,,,98.4289,-0.3054,99.0543,0.072
2017-06,95.8822,,,98.3198,-0.1108,99.3199,0.2681
2017-07,101.1698,,,99.6125,1.3148,99.8243,0.5079
2017-08,99.6232,,,100.5995,0.9908,100.5032,0.6801
2017-09,96.0235,,,102.1504,1.5417,101.2022,0.6954
2017-10,100.9782,,,102.6277,0.4672,101.7932,0.584
2017-11,103.3734,,,103.2669,0.6228,102.1903,0.3901
2017-12,123.9541,,,98.1936,-4.9127,102.359,0.1651
2018-01,97.2327,-2.6952,-2.6952,100.7208,2.5737,102.3121,-0.0459
2018-02,93.2831,1.6939,-0.5945,100.846,0.1243,102.0764,-0.2303
2018-03,104.906,9.5407,2.7825,101.0937,0.2456,101.6691,-0.3991
2018-04,96.1154,-2.2789,1.4921,101.6338,0.5343,101.0687,-0.5905
2018-05,96.119,3.1158,1.8081,100.9148,-0.7074,100.2345,-0.8254
2018-06,99.8844,4.1741,2.2027,100.158,-0.7499,99.1356,-1.0963
2018-07,98.3117,-2.8251,1.4503,99.1653,-0.9911,97.7813,-1.3661
2018-08,95.5253,-4.1134,0.7357,96.3931,-2.7955,96.234,-1.5824
2018-09,88.4103,-7.9286,-0.2187,93.9408,-2.5441,94.6077,-1.6899
2018-10,90.9548,-9.9262,-1.2265,92.4999,-1.5339,93.0291,-1.6686
2018-11,90.5229,-12.4311,-2.3029,90.5198,-2.1406,91.5972,-1.5392
2018-12,113.2318,-8.6502,-2.9586,90.2695,-0.2766,90.3739,-1.3356
2019-01,86.8754,-10.6521,-10.6521,89.1201,-1.2733,89.3753,-1.105
2019-02,81.978,-12.1191,-11.3704,88.5075,-0.6874,88.5752,-0.8952
2019-03,89.6355,-14.5564,-12.5018,87.8792,-0.7099,87.9461,-0.7103
2019-04,83.9116,-12.6971,-12.5497,87.2618,-0.7026,87.4748,-0.5359
2019-05,83.1057,-13.5388,-12.7447,87.2205,-0.0473,87.1572,-0.3631
2019-06,86.5651,-13.3347,-12.845,86.7157,-0.5788,86.9798,-0.2035
2019-07,85.7529,-12.7744,-12.8349,86.725,0.0107,86.9189,-0.0701
2019-08,88.4798,-7.3755,-12.1674,87.9359,1.3962,86.9329,0.0161
2019-09,80.5328,-8.9102,-11.8363,88.223,0.3265,86.9794,0.0535
2019-10,89.6538,-1.4304,-10.8512,90.7428,2.8562,87.0245,0.0519
2019-11,88.2645,-2.4948,-10.1317,86.2293,-4.974,87.0448,0.0233
2019-12,106.0011,-6.3858,-9.7674,86.2031,-0.0304,87.0466,0.002
2020-01,85.4012,-1.697,-1.697,86.7891,0.6798,87.0478,0.0014
2020-02,86.1964,5.1458,1.6252,87.9399,1.326,87.0714,0.0272
2020-03,98.1779,9.5302,4.3664,99.3133,12.9331,87.1034,0.0368
2020-04,84.1622,0.2986,3.3695,86.8163,-12.5833,87.1198,0.0188
2020-05,87.3262,5.0784,3.7033,89.9231,3.5786,87.0969,-0.0263
2020-06,85.2782,-1.4866,2.8259,88.6309,-1.4371,87.0282,-0.0789
2020-07,86.5213,0.8961,2.5491,86.9321,-1.9167,86.9262,-0.1172
2020-08,83.4725,-5.6593,1.4909,83.5139,-3.9321,86.8328,-0.1074
2020-09,78.654,-2.3329,1.0893,85.6322,2.5365,86.7997,-0.0381
2020-10,87.6268,-2.2609,0.7386,86.9211,1.5052,86.8647,0.0749
2020-11,87.3189,-1.0713,0.5695,87.5496,0.7231,87.0542,0.2182
2020-12,108.8495,2.6872,0.7831,87.5162,-0.0381,87.3482,0.3377
2021-01,88.8075,3.9887,3.9887,87.5812,0.0742,87.6984,0.4009
2021-02,81.18,-5.8197,-0.9383,87.224,-0.4078,88.063,0.4157
2021-03,89.5623,-8.7756,-3.7904,89.2908,2.3695,88.417,0.402
2021-04,85.1252,1.1443,-2.617,89.5749,0.3182,88.745,0.3709
2021-05,84.9831,-2.6831,-2.6301,88.7132,-0.962,89.0494,0.343
2021-06,86.109,0.9742,-2.0463,88.6592,-0.0609,89.3589,0.3476
2021-07,90.1147,4.1532,-1.1714,89.0611,0.4533,89.6891,0.3695
2021-08,87.2439,4.5182,-0.4896,89.3983,0.3787,90.034,0.3846
2021-09,83.5054,6.168,0.1859,90.7716,1.5362,90.3701,0.3733
2021-10,92.3232,5.3596,0.7114,91.4196,0.7138,90.6649,0.3262
2021-11,91.0135,4.2311,1.0348,91.6194,0.2186,90.8832,0.2408
2021-12,114.9065,5.5645,1.5004,91.893,0.2986,91.0076,0.1368
2022-01,92.6046,4.2756,4.2756,91.5571,-0.3655,91.0332,0.0282
2022-02,86.5644,6.6326,5.4013,92.8966,1.463,90.9728,-0.0664
2022-03,89.509,-0.0595,3.5169,89.7383,-3.3998,90.8576,-0.1266
2022-04,87.8162,3.1612,3.4291,89.2858,-0.5043,90.7183,-0.1534
2022-05,84.4972,-0.5718,2.6377,90.6115,1.4847,90.5836,-0.1485
2022-06,87.805,1.9696,2.5262,90.6229,0.0127,90.4908,-0.1025
2022-07,94.8816,5.2898,2.9372,93.5373,3.216,90.4998,0.01
2022-08,87.0281,-0.2474,2.5364,89.29,-4.5408,90.6647,0.1822
2022-09,84.1404,0.7605,2.3454,91.4029,2.3663,91.0045,0.3748
2022-10,90.8788,-1.5645,1.93,90.9783,-0.4645,91.4957,0.5397
2022-11,93.2363,2.4422,1.9786,92.8316,2.0371,92.0588,0.6155
2022-12,112.6428,-1.97,1.5565,88.2011,-4.9881,92.5807,0.5669
2023-01,93.3475,0.8022,0.8022,94.1097,6.6991,92.9647,0.4147
2023-02,87.4196,0.988,0.892,93.736,-0.3971,93.1473,0.1964
2023-03,92.9352,3.8278,1.87,92.852,-0.943,93.1269,-0.0219
2023-04,90.8167,3.4168,2.251,92.3263,-0.5662,92.9724,-0.1659
2023-05,84.7009,0.2411,1.8659,90.9317,-1.5105,92.7492,-0.24
2023-06,86.9987,-0.9183,1.4036,90.0428,-0.9776,92.4707,-0.3004
2023-07,92.5466,-2.461,0.8157,91.918,2.0826,92.0773,-0.4254
2023-08,91.5157,5.1565,1.3472,93.3682,1.5777,91.4571,-0.6735
2023-09,87.2989,3.7538,1.602,92.5131,-0.9159,90.4919,-1.0554
2023-10,97.3871,7.1615,2.1724,100.0124,8.1062,89.1339,-1.5006
2023-11,91.6839,-1.665,1.8069,91.5056,-8.5057,87.4528,-1.8861
2023-12,105.2028,-6.6049,0.9389,82.0238,-10.362,85.6317,-2.0823
2024-01,80.4004,-13.8697,-13.8697,80.9901,-1.2603,83.9165,-2.003
