fecha,bocas,ventas_m2,personal,ticket_promedio,ticket_promedio_yoy,personal_yoy
2017-01,2975,8500.2737,71661007,388.7591,,
2017-02,2975,7931.3267,67522068,384.9734,,
2017-03,2975,8476.2103,73929065,375.7657,,
2017-04,2975,8889.4226,71804172,405.7462,,
2017-05,2975,8533.8773,69517279,402.3317,,
2017-06,2975,8888.9468,70208535,414.9455,,
2017-07,2975,9514.3158,72231673,431.6985,,
2017-08,2975,9505.9489,71848306,433.6203,,
2017-09,2975,9312.6942,69298656,440.4343,,
2017-10,2975,9899.8888,71766159,452.107,,
2017-11,2975,10260.8446,71818682,468.2484,,
2017-12,2975,12438.5831,77321338,527.2325,,
2018-01,2975,9910.0264,69628522,466.4641,19.99,-2.84
2018-02,2975,9683.511,67282202,471.6972,22.53,-0.36
2018-03,2975,11146.3944,75824640,481.7865,28.21,2.56
2018-04,2975,10408.755,70481967,484.0067,19.29,-1.84
2018-05,2975,10719.7937,69637233,504.5167,25.4,0.17
2018-06,2975,11697.7197,70828073,541.2855,30.45,0.88
2018-07,2957,12057.8997,72393183,542.5711,25.68,0.22
2018-08,2964,12114.2168,73233269,539.2618,24.36,1.93
2018-09,2980,12223.3213,71290876,560.0373,27.16,2.87
2018-10,2975,13298.6369,75310617,576.5489,27.52,4.94
2018-11,2972,13722.3618,73165774,612.984,30.91,1.88
2018-12,2973,17499.6021,79283350,721.5129,36.85,2.54
2019-01,2969,13891.6891,73551723,617.7098,32.42,5.63
2019-02,2969,13631.9453,68438171,651.5683,38.13,1.72
2019-03,2969,15611.051,74975014,681.1028,41.37,-1.12
2019-04,2969,15169.5255,73112718,678.6974,40.22,3.73
2019-05,2966,15520.909,70941504,715.777,41.87,1.87
2019-06,2968,16629.5097,70312728,773.8772,42.97,-0.73
2019-07,2969,16816.7121,71564612,769.1578,41.76,-1.14
2019-08,2969,18238.2481,74318973,802.9189,48.89,1.48
2019-09,2961,17699.9848,71289985,811.9697,44.98,-0.0
2019-10,2963,20278.2318,74509442,890.1634,54.4,-1.06
2019-11,2972,20757.686,74956794,906.4383,47.87,2.45
2019-12,2953,25715.004,80571561,1036.6517,43.68,1.62
2020-01,2949,21437.0448,72377596,969.1536,56.89,-1.6
2020-02,2946,22162.7406,71487022,1014.0922,55.64,4.45
2020-03,2948,26216.8775,64404773,1331.8583,95.54,-14.1
