fecha,total_mill,salon_ventas_mill,online_mill,efectivo_mill,debito_mill,credito_mill,otros_mill,total_mill_yoy,salon_ventas_mill_yoy,online_mill_yoy,efectivo_mill_yoy,debito_mill_yoy,credito_mill_yoy,otros_mill_yoy
2017-01,27858.9,27591.7,267.1,10230.1,6864.6,9047.2,1717.0,,,,,,,
2017-02,25994.2,25749.2,245.0,9719.1,6438.5,8309.2,1527.5,,,,,,,
2017-03,27780.0,27472.2,307.8,10244.4,6908.5,8845.0,1782.0,,,,,,,
2017-04,29134.3,28827.5,306.8,10312.6,7454.3,9458.2,1909.2,,,,,,,
2017-05,27969.0,27569.3,399.7,10147.6,6735.7,9220.9,1864.7,,,,,,,
2017-06,29132.7,28763.9,368.8,10565.5,7337.5,9196.1,2033.7,,,,,,,
2017-07,31182.3,30815.3,367.0,10905.9,8183.0,10162.9,1930.5,,,,,,,
2017-08,31154.9,30763.4,391.5,11041.6,7899.4,10115.2,2098.7,,,,,,,
2017-09,30521.5,30135.6,385.9,10789.2,7888.2,9795.9,2048.2,,,,,,,
2017-10,32446.0,31980.2,465.8,11220.3,8695.5,11447.5,1082.7,,,,,,,
2017-11,33629.0,33122.4,506.6,11658.0,8324.3,12553.5,1093.2,,,,,,,
2017-12,40766.3,40320.3,446.0,13710.3,11070.1,14576.0,1409.9,,,,,,,
2018-01,32479.2,32103.1,376.1,11705.4,8391.9,11256.7,1125.2,16.58,16.35,40.81,14.42,22.25,24.42,-34.47
2018-02,31736.8,31357.4,379.4,10720.3,8607.9,11364.7,1044.0,22.09,21.78,54.86,10.3,33.69,36.77,-31.65
2018-03,36531.3,36055.4,475.9,12955.7,9144.0,13175.4,1256.2,31.5,31.24,54.61,26.47,32.36,48.96,-29.51
2018-04,34113.7,33622.3,491.5,11685.4,8980.7,12193.3,1254.4,17.09,16.63,60.2,13.31,20.48,28.92,-34.3
2018-05,35133.1,34407.4,725.8,11925.3,8668.1,13241.5,1298.2,25.61,24.8,81.59,17.52,28.69,43.6,-30.38
2018-06,38338.2,37744.8,593.4,13517.2,9513.9,13623.9,1683.2,31.6,31.22,60.9,27.94,29.66,48.15,-17.23
2018-07,39278.4,38696.7,581.8,14061.3,10619.0,13151.3,1446.8,25.96,25.58,58.53,28.93,29.77,29.4,-25.06
2018-08,39491.9,38852.7,639.2,13783.1,10164.6,13997.2,1547.0,26.76,26.3,63.27,24.83,28.68,38.38,-26.29
2018-09,39925.5,39313.0,612.5,14308.0,10187.5,14097.4,1332.7,30.81,30.45,58.72,32.61,29.15,43.91,-34.93
2018-10,43420.3,42646.5,773.8,15413.3,10495.4,16009.0,1502.6,33.82,33.35,66.12,37.37,20.7,39.85,38.78
2018-11,44849.4,44077.0,772.5,15412.7,11133.0,16773.6,1530.2,33.37,33.07,52.49,32.21,33.74,33.62,39.97
2018-12,57204.0,56452.4,751.6,19373.0,16252.2,19596.7,1982.1,40.32,40.01,68.52,41.3,46.81,34.44,40.58
2019-01,45433.6,44740.6,693.0,16005.6,11687.7,16222.4,1517.9,39.89,39.37,84.26,36.74,39.27,44.11,34.9
2019-02,44592.1,43914.2,678.0,15466.8,12330.6,15330.2,1464.6,40.51,40.04,78.7,44.28,43.25,34.89,40.29
2019-03,51065.7,50347.8,717.9,17737.3,13685.7,17969.6,1673.2,39.79,39.64,50.85,36.91,49.67,36.39,33.2
2019-04,49621.4,48939.6,681.8,17102.0,13152.3,17736.3,1630.8,45.46,45.56,38.72,46.35,46.45,45.46,30.01
2019-05,50778.3,49813.9,964.4,17247.8,13838.8,18013.0,1678.7,44.53,44.78,32.87,44.63,59.65,36.03,29.31
2019-06,54413.4,53591.7,821.7,17995.6,15507.0,19225.5,1685.3,41.93,41.98,38.47,33.13,62.99,41.12,0.12
2019-07,55044.5,54121.3,923.1,18549.0,15609.9,19194.6,1691.0,40.14,39.86,58.66,31.92,47.0,45.95,16.88
2019-08,59672.1,58647.9,1024.2,19745.3,16044.6,21781.4,2100.8,51.1,50.95,60.23,43.26,57.85,55.61,35.8
2019-09,57885.3,56887.8,997.5,19561.4,15872.0,20612.7,1839.1,44.98,44.7,62.86,36.72,55.8,46.22,38.0
2019-10,66325.6,65144.9,1180.7,21884.7,17749.7,24432.9,2258.2,52.75,52.76,52.58,41.99,69.12,52.62,50.29
2019-11,67943.7,66454.2,1489.5,22763.2,16506.7,26455.7,2218.1,51.49,50.77,92.82,47.69,48.27,57.72,44.95
2019-12,83524.6,82246.2,1278.5,27960.5,21105.0,31600.1,2859.1,46.01,45.69,70.1,44.33,29.86,61.25,44.25
