fecha,region,tipo_variacion,bloque,concepto,valor,archivo_origen,fecha_descarga
2017-01,Total nacional,mensual,Nivel general,Nivel general,1.6,sh_ipc_06_26.xls,2026-07-10
2017-02,Total nacional,mensual,Nivel general,Nivel general,2.1,sh_ipc_06_26.xls,2026-07-10
2017-03,Total nacional,mensual,Nivel general,Nivel general,2.4,sh_ipc_06_26.xls,2026-07-10
2017-04,Total nacional,mensual,Nivel general,Nivel general,2.7,sh_ipc_06_26.xls,2026-07-10
2017-05,Total nacional,mensual,Nivel general,Nivel general,1.4,sh_ipc_06_26.xls,2026-07-10
2017-06,Total nacional,mensual,Nivel general,Nivel general,1.2,sh_ipc_06_26.xls,2026-07-10
2017-07,Total nacional,mensual,Nivel general,Nivel general,1.7,sh_ipc_06_26.xls,2026-07-10
2017-08,Total nacional,mensual,Nivel general,Nivel general,1.4,sh_ipc_06_26.xls,2026-07-10
2017-09,Total nacional,mensual,Nivel general,Nivel general,1.9,sh_ipc_06_26.xls,2026-07-10
2017-10,Total nacional,mensual,Nivel general,Nivel general,1.5,sh_ipc_06_26.xls,2026-07-10
2017-11,Total nacional,mensual,Nivel general,Nivel general,1.4,sh_ipc_06_26.xls,2026-07-10
2017-12,Total nacional,mensual,Nivel general,Nivel general,3.1,sh_ipc_06_26.xls,2026-07-10
2018-01,Total nacional,mensual,Nivel general,Nivel general,1.8,sh_ipc_06_26.xls,2026-07-10
2018-02,Total nacional,mensual,Nivel general,Nivel general,2.4,sh_ipc_06_26.xls,2026-07-10
2018-03,Total nacional,mensual,Nivel general,Nivel general,2.3,sh_ipc_06_26.xls,2026-07-10
2018-04,Total nacional,mensual,Nivel general,Nivel general,2.7,sh_ipc_06_26.xls,2026-07-10
2018-05,Total nacional,mensual,Nivel general,Nivel general,2.1,sh_ipc_06_26.xls,2026-07-10
2018-06,Total nacional,mensual,Nivel general,Nivel general,3.7,sh_ipc_06_26.xls,2026-07-10
2018-07,Total nacional,mensual,Nivel general,Nivel general,3.1,sh_ipc_06_26.xls,2026-07-10
2018-08,Total nacional,mensual,Nivel general,Nivel general,3.9,sh_ipc_06_26.xls,2026-07-10
2018-09,Total nacional,mensual,Nivel general,Nivel general,6.5,sh_ipc_06_26.xls,2026-07-10
2018-10,Total nacional,mensual,Nivel general,Nivel general,5.4,sh_ipc_06_26.xls,2026-07-10
2018-11,Total nacional,mensual,Nivel general,Nivel general,3.2,sh_ipc_06_26.xls,2026-07-10
2018-12,Total nacional,mensual,Nivel general,Nivel general,2.6,sh_ipc_06_26.xls,2026-07-10
2019-01,Total nacional,mensual,Nivel general,Nivel general,2.9,sh_ipc_06_26.xls,2026-07-10
2019-02,Total nacional,mensual,Nivel general,Nivel general,3.8,sh_ipc_06_26.xls,2026-07-10
2019-03,Total nacional,mensual,Nivel general,Nivel general,4.7,sh_ipc_06_26.xls,2026-07-10
