fecha,region,tipo_variacion,bloque,concepto,valor,archivo_origen,fecha_descarga
2017-12,Total nacional,interanual,Nivel general,Nivel general,24.8,sh_ipc_06_26.xls,2026-07-10
2018-01,Total nacional,interanual,Nivel general,Nivel general,25.0,sh_ipc_06_26.xls,2026-07-10
2018-02,Total nacional,interanual,Nivel general,Nivel general,25.4,sh_ipc_06_26.xls,2026-07-10
2018-03,Total nacional,interanual,Nivel general,Nivel general,25.4,sh_ipc_06_26.xls,2026-07-10
2018-04,Total nacional,interanual,Nivel general,Nivel general,25.5,sh_ipc_06_26.xls,2026-07-10
2018-05,Total nacional,interanual,Nivel general,Nivel general,26.3,sh_ipc_06_26.xls,2026-07-10
2018-06,Total nacional,interanual,Nivel general,Nivel general,29.5,sh_ipc_06_26.xls,2026-07-10
2018-07,Total nacional,interanual,Nivel general,Nivel general,31.2,sh_ipc_06_26.xls,2026-07-10
2018-08,Total nacional,interanual,Nivel general,Nivel general,34.4,sh_ipc_06_26.xls,2026-07-10
2018-09,Total nacional,interanual,Nivel general,Nivel general,40.5,sh_ipc_06_26.xls,2026-07-10
2018-10,Total nacional,interanual,Nivel general,Nivel general,45.9,sh_ipc_06_26.xls,2026-07-10
2018-11,Total nacional,interanual,Nivel general,Nivel general,48.5,sh_ipc_06_26.xls,2026-07-10
2018-12,Total nacional,interanual,Nivel general,Nivel general,47.6,sh_ipc_06_26.xls,2026-07-10
2019-01,Total nacional,interanual,Nivel general,Nivel general,49.3,sh_ipc_06_26.xls,2026-07-10
2019-02,Total nacional,interanual,Nivel general,Nivel general,51.3,sh_ipc_06_26.xls,2026-07-10
2019-03,Total nacional,interanual,Nivel general,Nivel general,54.7,sh_ipc_06_26.xls,2026-07-10
2019-04,Total nacional,interanual,Nivel general,Nivel general,55.8,sh_ipc_06_26.xls,2026-07-10
2019-05,Total nacional,interanual,Nivel general,Nivel general,57.3,sh_ipc_06_26.xls,2026-07-10
2019-06,Total nacional,interanual,Nivel general,Nivel general,55.8,sh_ipc_06_26.xls,2026-07-10
2019-07,Total nacional,interanual,Nivel general,Nivel general,54.4,sh_ipc_06_26.xls,2026-07-10
2019-08,Total nacional,interanual,Nivel general,Nivel general,54.5,sh_ipc_06_26.xls,2026-07-10
2019-09,Total nacional,interanual,Nivel general,Nivel general,53.5,sh_ipc_06_26.xls,2026-07-10
2019-10,Total nacional,interanual,Nivel general,Nivel general,50.5,sh_ipc_06_26.xls,2026-07-10
2019-11,Total nacional,interanual,Nivel general,Nivel general,52.1,sh_ipc_06_26.xls,2026-07-10
2019-12,Total nacional,interanual,Nivel general,Nivel general,53.8,sh_ipc_06_26.xls,2026-07-10
2020-01,Total nacional,interanual,Nivel general,Nivel general,52.9,sh_ipc_06_26.xls,2026-07-10
2020-02,Total nacional,interanual,Nivel general,Nivel general,50.3,sh_ipc_06_26.xls,2026-07-10
2020-03,Total nacional,interanual,Nivel general,Nivel general,48.4,sh_ipc_06_26.xls,2026-07-10
2020-04,Total nacional,interanual,Nivel general,Nivel general,45.6,sh_ipc_06_26.xls,2026-07-10
2020-05,Total nacional,interanual,Nivel general,Nivel general,43.4,sh_ipc_06_26.xls,2026-07-10
2020-06,Total nacional,interanual,Nivel general,Nivel general,42.8,sh_ipc_06_26.xls,2026-07-10
2020-07,Total nacional,interanual,Nivel general,Nivel general,42.4,sh_ipc_06_26.xls,2026-07-10
2020-08,Total nacional,interanual,Nivel general,Nivel general,40.7,sh_ipc_06_26.xls,2026-07-10
2020-09,Total nacional,interanual,Nivel general,Nivel general,36.6,sh_ipc_06_26.xls,2026-07-10
2020-10,Total nacional,interanual,Nivel general,Nivel general,37.2,sh_ipc_06_26.xls,2026-07-10
2020-11,Total nacional,interanual,Nivel general,Nivel general,35.8,sh_ipc_06_26.xls,2026-07-10
2020-12,Total nacional,interanual,Nivel general,Nivel general,36.1,sh_ipc_06_26.xls,2026-07-10
2021-01,Total nacional,interanual,Nivel general,Nivel general,38.5,sh_ipc_06_26.xls,2026-07-10
2021-02,Total nacional,interanual,Nivel general,Nivel general,40.7,sh_ipc_06_26.xls,2026-07-10
2021-03,Total nacional,interanual,Nivel general,Nivel general,42.6,sh_ipc_06_26.xls,2026-07-10
2021-04,Total nacional,interanual,Nivel general,Nivel general,46.3,sh_ipc_06_26.xls,2026-07-10
2021-05,Total nacional,interanual,Nivel general,Nivel general,48.8,sh_ipc_06_26.xls,2026-07-10
2021-06,Total nacional,interanual,Nivel general,Nivel general,50.2,sh_ipc_06_26.xls,2026-07-10
2021-07,Total nacional,interanual,Nivel general,Nivel general,51.8,sh_ipc_06_26.xls,2026-07-10
2021-08,Total nacional,interanual,Nivel general,Nivel general,51.4,sh_ipc_06_26.xls,2026-07-10
2021-09,Total nacional,interanual,Nivel general,Nivel general,52.5,sh_ipc_06_26.xls,2026-07-10
2021-10,Total nacional,interanual,Nivel general,Nivel general,52.1,sh_ipc_06_26.xls,2026-07-10
