fecha,serie_original,serie_original_mom,serie_original_yoy,serie_original_ytd_yoy,serie_desestacionalizada,serie_desestacionalizada_mom,serie_desestacionalizada_yoy,serie_desestacionalizada_ytd_yoy,serie_tendencia_ciclo,serie_tendencia_ciclo_mom,serie_tendencia_ciclo_yoy,serie_tendencia_ciclo_ytd_yoy
2016-01,117.05119421077302,,,,134.541765945225,,,,132.054838394386,,,
2016-02,118.90029357259574,1.58,,,131.979111778647,-1.9,,,131.381301246917,-0.51,,
2016-03,136.80623010580314,15.06,,,130.531995134505,-1.1,,,130.592055381237,-0.6,,
2016-04,132.0696490854989,-3.46,,,130.808621823051,0.21,,,129.735548690419,-0.66,,
2016-05,132.12673005161108,0.04,,,128.91115948001,-1.45,,,128.870595163139,-0.67,,
2016-06,124.9916505365282,-5.4,,,124.49423819016,-3.43,,,128.107246077287,-0.59,,
2016-07,126.76147447449927,1.42,,,126.808502358686,1.86,,,127.600041072846,-0.4,,
2016-08,133.7329827733621,5.5,,,124.455389512,-1.86,,,127.41996838286,-0.14,,
2016-09,135.51789212141713,1.33,,,128.105938938281,2.93,,,127.507713778854,0.07,,
2016-10,133.34114128281072,-1.61,,,127.720581393071,-0.3,,,127.781772040268,0.21,,
2016-11,134.73703178156455,1.05,,,131.066889644899,2.62,,,128.116405299556,0.26,,
2016-12,124.08230099201045,-7.91,,,130.448019715786,-0.47,,,128.452403213967,0.26,,
2017-01,115.72788011075902,-6.73,-1.13,-2.58,129.219957726518,-0.94,-3.96,-2.58,128.808788160909,0.28,-2.46,-2.58
2017-02,109.43840116663539,-5.43,-7.96,-3.64,125.56263804158,-2.83,-4.86,-3.64,129.260604575023,0.35,-1.61,-3.64
2017-03,135.7397555654156,24.03,-0.78,-2.66,129.265193020538,2.95,-0.97,-2.66,129.895229810239,0.49,-0.53,-2.66
2017-04,127.06229310335894,-6.39,-3.79,-2.32,129.674535260827,0.32,-0.87,-2.32,130.745259751679,0.65,0.78,-2.32
2017-05,137.32629188497592,8.08,3.94,-1.29,131.634958973179,1.51,2.11,-1.29,131.804034149862,0.81,2.28,-1.29
2017-06,134.50955603897785,-2.05,7.61,-0.11,132.811132367142,0.89,6.68,-0.11,132.966932679193,0.88,3.79,-0.11
2017-07,135.52441430007988,0.75,6.91,0.77,134.950134703419,1.61,6.42,0.77,134.062700427273,0.82,5.06,0.77
2017-08,143.01220222320006,5.53,6.94,1.5,133.2116145591,-1.29,7.04,1.5,134.955556827338,0.67,5.91,1.5
2017-09,140.47537228449835,-1.77,3.66,1.93,136.033503056742,2.12,6.19,1.93,135.536669352006,0.43,6.3,1.93
2017-10,142.91248117324935,1.73,7.18,2.36,134.332249688284,-1.25,5.18,2.36,135.769491975876,0.17,6.25,2.36
2017-11,141.4719289560601,-1.01,5.0,2.65,138.077325306649,2.79,5.35,2.65,135.676802784102,-0.07,5.9,2.65
2017-12,126.4041221015147,-10.65,1.87,2.76,136.616509586426,-1.06,4.73,2.76,135.303490994965,-0.28,5.33,2.76
2018-01,120.49879049928444,-4.67,4.12,3.49,131.626868356681,-3.65,1.86,3.49,134.685646220907,-0.46,4.56,3.49
2018-02,116.47032626071217,-3.34,6.43,4.24,132.233576416581,0.46,5.31,4.24,133.830366935793,-0.64,3.54,4.24
2018-03,137.87384466026174,18.38,1.57,3.63,134.108664241934,1.42,3.75,3.63,132.72239012903,-0.83,2.18,3.63
2018-04,132.09178628946967,-4.19,3.96,3.3,133.01503101915,-0.82,2.58,3.3,131.344089803553,-1.04,0.46,3.3
2018-05,135.86546669164358,2.86,-1.06,2.36,130.533797625948,-1.87,-0.84,2.36,129.680039204346,-1.27,-1.61,2.36
2018-06,123.7285406594831,-8.93,-8.02,0.92,124.659217152276,-4.5,-6.14,0.92,127.746064358988,-1.49,-3.93,0.92
2018-07,126.78055488105136,2.47,-6.45,-0.28,123.125982462378,-1.23,-8.76,-0.28,125.625036552972,-1.66,-6.29,-0.28
