periodo,anio,trimestre,exportaciones,importaciones,saldo,fuente,fecha_carga
2006T1,2006,1,9945.6,7039.3,2906.3,INDEC_BDP_C03,2026-06-08
2006T2,2006,2,11980.3,7856.800000000001,4123.499999999998,INDEC_BDP_C03,2026-06-08
2006T3,2006,3,12126.800000000001,8871.3,3255.500000000002,INDEC_BDP_C03,2026-06-08
2006T4,2006,4,12564.800000000001,8820.5,3744.300000000001,INDEC_BDP_C03,2026-06-08
2007T1,2007,1,11178.1,8753.599999999999,2424.500000000002,INDEC_BDP_C03,2026-06-08
2007T2,2007,2,13693.2,9709.0,3984.2000000000007,INDEC_BDP_C03,2026-06-08
2007T3,2007,3,14388.562,12042.3,2346.2620000000006,INDEC_BDP_C03,2026-06-08
2007T4,2007,4,16816.699999999997,12019.599999999999,4797.0999999999985,INDEC_BDP_C03,2026-06-08
2008T1,2008,1,16067.5,12207.1,3860.3999999999996,INDEC_BDP_C03,2026-06-08
2008T2,2008,2,17526.3,14584.0,2942.2999999999993,INDEC_BDP_C03,2026-06-08
2008T3,2008,3,21338.372000000003,15679.9,5658.472000000003,INDEC_BDP_C03,2026-06-08
2008T4,2008,4,15227.300000000001,12125.199999999999,3102.100000000002,INDEC_BDP_C03,2026-06-08
2009T1,2009,1,11954.2,7955.500000000001,3998.7,INDEC_BDP_C03,2026-06-08
2009T2,2009,2,15499.383,8699.944000000001,6799.4389999999985,INDEC_BDP_C03,2026-06-08
2009T3,2009,3,13837.668,10073.18,3764.4879999999994,INDEC_BDP_C03,2026-06-08
2009T4,2009,4,14499.733,10417.51,4082.223,INDEC_BDP_C03,2026-06-08
2010T1,2010,1,13082.377999999999,10561.397642349997,2520.9803576500017,INDEC_BDP_C03,2026-06-08
2010T2,2010,2,19117.864,13181.124904450004,5936.739095549998,INDEC_BDP_C03,2026-06-08
2010T3,2010,3,18767.533000000003,15235.392539400002,3532.1404606000015,INDEC_BDP_C03,2026-06-08
2010T4,2010,4,17338.097999999998,15180.848615310002,2157.249384689996,INDEC_BDP_C03,2026-06-08
2011T1,2011,1,16706.599000000002,14623.696716819999,2082.902283180003,INDEC_BDP_C03,2026-06-08
2011T2,2011,2,22833.188,17933.63567436,4899.552325639997,INDEC_BDP_C03,2026-06-08
2011T3,2011,3,23303.707,20493.963989660002,2809.7430103399965,INDEC_BDP_C03,2026-06-08
2011T4,2011,4,20276.214999999997,17717.481532369995,2558.7334676300015,INDEC_BDP_C03,2026-06-08
2012T1,2012,1,17652.114999999998,14604.842994490002,3047.2720055099962,INDEC_BDP_C03,2026-06-08
2012T2,2012,2,20646.265000000003,16045.013909989997,4601.251090010006,INDEC_BDP_C03,2026-06-08
2012T3,2012,3,21920.104000000003,17675.161011709995,4244.942988290008,INDEC_BDP_C03,2026-06-08
2012T4,2012,4,19865.170999999995,16717.724297269997,3147.446702729998,INDEC_BDP_C03,2026-06-08
2013T1,2013,1,16467.468853150007,15455.85701806,1011.6118350900069,INDEC_BDP_C03,2026-06-08
2013T2,2013,2,22803.208976469934,19023.650483480003,3779.5584929899305,INDEC_BDP_C03,2026-06-08
2013T3,2013,3,20605.215959379973,19242.18581891,1363.0301404699749,INDEC_BDP_C03,2026-06-08
2013T4,2013,4,16052.334572070014,17571.299799709992,-1518.9652276399775,INDEC_BDP_C03,2026-06-08
2014T1,2014,1,13846.469446,15863.36214414,-2016.89269814,INDEC_BDP_C03,2026-06-08
2014T2,2014,2,20864.058567,16560.882065119997,4303.176501880003,INDEC_BDP_C03,2026-06-08
2014T3,2014,3,18534.448505,16684.870910510002,1849.5775944899979,INDEC_BDP_C03,2026-06-08
2014T4,2014,4,15195.459389,13789.850974330004,1405.608414669996,INDEC_BDP_C03,2026-06-08
2015T1,2015,1,12061.478492999999,12927.22945908,-865.7509660800006,INDEC_BDP_C03,2026-06-08
2015T2,2015,2,16411.409,14948.834848160002,1462.5741518399973,INDEC_BDP_C03,2026-06-08
2015T3,2015,3,15872.122000000001,16152.95380861,-280.8318086099989,INDEC_BDP_C03,2026-06-08
2015T4,2015,4,12464.044,13565.211769770001,-1101.1677697700015,INDEC_BDP_C03,2026-06-08
2016T1,2016,1,12454.08528896,12277.939257760001,176.1460311999981,INDEC_BDP_C03,2026-06-08
2016T2,2016,2,15437.820768999998,13760.424492139999,1677.3962768599995,INDEC_BDP_C03,2026-06-08
2016T3,2016,3,15828.637882070001,14002.162140390003,1826.4757416799985,INDEC_BDP_C03,2026-06-08
2016T4,2016,4,14239.389750499999,13503.250858639994,736.1388918600042,INDEC_BDP_C03,2026-06-08
2017T1,2017,1,12764.825632879998,13385.1088590199,-620.2832261399017,INDEC_BDP_C03,2026-06-08
2017T2,2017,2,15524.041014119999,16236.266840590099,-712.2258264700995,INDEC_BDP_C03,2026-06-08
2017T3,2017,3,15851.8840510599,17531.2659900199,-1679.3819389599994,INDEC_BDP_C03,2026-06-08
2017T4,2017,4,14521.12285372,16956.2949696901,-2435.172115970101,INDEC_BDP_C03,2026-06-08
2018T1,2018,1,14535.245471819999,16200.49673246,-1665.2512606400014,INDEC_BDP_C03,2026-06-08
2018T2,2018,2,15518.4522272499,17214.880784129902,-1696.4285568800024,INDEC_BDP_C03,2026-06-08
2018T3,2018,3,15665.26091715,16411.0166088501,-745.7556917000984,INDEC_BDP_C03,2026-06-08
2018T4,2018,4,16082.04402207,12717.83619104,3364.2078310300003,INDEC_BDP_C03,2026-06-08
2019T1,2019,1,14170.70271429,11620.9459706699,2549.7567436201007,INDEC_BDP_C03,2026-06-08
2019T2,2019,2,16630.1505026501,12407.2647689401,4222.88573371,INDEC_BDP_C03,2026-06-08
2019T3,2019,3,17178.57620613,12707.2176521299,4471.3585540001,INDEC_BDP_C03,2026-06-08
2019T4,2019,4,17182.632301740003,10192.909874769899,6989.722426970104,INDEC_BDP_C03,2026-06-08
2020T1,2020,1,13360.22306329,9434.448395359908,3925.774667930091,INDEC_BDP_C03,2026-06-08
2020T2,2020,2,14235.1252797099,8894.36390151996,5340.76137818994,INDEC_BDP_C03,2026-06-08
2020T3,2020,3,14620.2669888499,10551.320660719999,4068.9463281299013,INDEC_BDP_C03,2026-06-08
2020T4,2020,4,12729.8943669299,11434.67856409,1295.2158028399008,INDEC_BDP_C03,2026-06-08
2021T1,2021,1,15415.7820692501,12174.693107260098,3241.0889619900026,INDEC_BDP_C03,2026-06-08
2021T2,2021,2,19980.488579430003,14812.3471282399,5168.141451190102,INDEC_BDP_C03,2026-06-08
2021T3,2021,3,22935.78949584,16276.6006584399,6659.188837400099,INDEC_BDP_C03,2026-06-08
2021T4,2021,4,19654.516020929997,16027.469656479901,3627.046364450096,INDEC_BDP_C03,2026-06-08
2022T1,2022,1,19532.7809121899,16755.10840984,2777.672502349902,INDEC_BDP_C03,2026-06-08
2022T2,2022,2,25201.1817741101,21987.1943678,3213.9874063101015,INDEC_BDP_C03,2026-06-08
2022T3,2022,3,22748.96328165,21823.92274266,925.0405389900006,INDEC_BDP_C03,2026-06-08
2022T4,2022,4,21288.252574539998,15788.398605900098,5499.8539686399,INDEC_BDP_C03,2026-06-08
2023T1,2023,1,15972.20020286,16259.390259840202,-287.1900569802019,INDEC_BDP_C03,2026-06-08
2023T2,2023,2,17596.16534594,19646.2033654001,-2050.0380194600984,INDEC_BDP_C03,2026-06-08
2023T3,2023,3,17811.39230028,19110.073347550002,-1298.6810472700017,INDEC_BDP_C03,2026-06-08
2023T4,2023,4,15655.673306749999,14843.09091359,812.5823931599989,INDEC_BDP_C03,2026-06-08
2024T1,2024,1,17467.9852748,12398.43056043,5069.5547143700005,INDEC_BDP_C03,2026-06-08
2024T2,2024,2,20756.22127743,13646.79478435,7109.426493079998,INDEC_BDP_C03,2026-06-08
2024T3,2024,3,20912.553018980103,15606.5195738901,5306.033445090003,INDEC_BDP_C03,2026-06-08
2024T4,2024,4,20622.778787260002,15703.960414019999,4918.818373240003,INDEC_BDP_C03,2026-06-08
2025T1,2025,1,18702.107536260002,16642.27406256,2059.8334737000005,INDEC_BDP_C03,2026-06-08
2025T2,2025,2,21057.16024321,18389.111457210096,2668.048785999905,INDEC_BDP_C03,2026-06-08
2025T3,2025,3,23797.63333945,19449.1723839999,4348.4609554501,INDEC_BDP_C03,2026-06-08
2025T4,2025,4,23594.7126526599,17312.0898967901,6282.622755869797,INDEC_BDP_C03,2026-06-08
