periodo,anio,trimestre,cuenta_capital,fuente,fecha_carga
2006T1,2006,1,10.399999999999999,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2006T2,2006,2,39.9,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2006T3,2006,3,45.43041210224308,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2006T4,2006,4,1.8939157025577287,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2007T1,2007,1,11.500000000000004,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2007T2,2007,2,6.683196445401912,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2007T3,2007,3,102.210715522771,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2007T4,2007,4,0.7519770000000008,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2008T1,2008,1,43.631,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2008T2,2008,2,14.751144792002579,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2008T3,2008,3,123.80000000000003,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2008T4,2008,4,2.877871934875153,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2009T1,2009,1,22.06829677346122,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2009T2,2009,2,0.6000000000000001,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2009T3,2009,3,54.716731891664914,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2009T4,2009,4,2.5991993196064977,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2010T1,2010,1,17.275787489199026,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2010T2,2010,2,3.9,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2010T3,2010,3,54.735,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2010T4,2010,4,2.5670972475690377,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2011T1,2011,1,16.4506,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2011T2,2011,2,1.1500000000000001,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2011T3,2011,3,44.622,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2011T4,2011,4,0.5012462235649546,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
2012T1,2012,1,0.8500000000000005,INDEC_BDP_C01_CUENTA_CAPITAL,2026-06-09
