periodo,anio,trimestre,saldo_bienes,saldo_servicios,saldo_ingreso_primario,saldo_ingreso_secundario,saldo_cuenta_corriente,fuente,fecha_carga
2006T1,2006,1,2906.3,-215.2240577276812,-2177.748859400297,189.93979066048084,703.2668735325028,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2006T2,2006,2,4123.499999999998,-320.29196743985904,-2159.0400671733496,272.42648579255723,1916.5944511793468,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2006T3,2006,3,3255.500000000002,-268.62401013598264,-1690.7435522708872,220.7340416015402,1516.8664791946721,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2006T4,2006,4,3744.300000000001,41.18260846281146,-1695.077504056982,271.6696118921802,2362.0747162980106,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2007T1,2007,1,2424.500000000002,-96.73077682810072,-1957.6618898522056,231.69475410217635,601.8020874218719,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2007T2,2007,2,3984.2000000000007,-361.949674149022,-1881.3289482459463,285.26917757507954,2026.190555180112,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2007T3,2007,3,2346.2620000000006,-482.4722579494146,-1665.6199315022325,251.0950161232264,449.26482667157995,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2007T4,2007,4,4797.099999999999,-40.32931478473938,-2090.044993847497,304.55473224536945,2971.280423613133,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2008T1,2008,1,3860.4,-556.7722602209001,-2254.5384739272727,274.1252983172757,1323.2145641691031,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2008T2,2008,2,2942.2999999999997,-706.8374411772411,-2229.829424299352,313.62665941481686,319.2597939382235,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2008T3,2008,3,5658.472000000003,-699.5574326589699,-2226.49065358187,259.49490650821645,2991.9188202673795,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2008T4,2008,4,3102.100000000002,-259.1678926461359,-2323.3321482299043,267.2131911114176,786.8131502353796,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2009T1,2009,1,3998.7,-630.8083436403799,-2372.682644032955,195.48254204155307,1190.691554368218,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2009T2,2009,2,6799.438999999999,-350.03431971833925,-2419.5555729933885,267.9759810052726,4297.8250882935445,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2009T3,2009,3,3764.488,-722.8016378668308,-2528.8122218018543,191.84775656578728,704.7218968971019,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2009T4,2009,4,4082.223,-288.38718837871784,-2997.824562744772,264.8658955016453,1060.8771443781557,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2010T1,2010,1,2520.9803576500017,-570.6079203418576,-3722.87549982267,139.98322543753892,-1632.519837076987,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2010T2,2010,2,5936.739095549998,-564.1826358747585,-3486.394767101856,215.22177862045288,2101.383471193836,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2010T3,2010,3,3532.140460600001,-533.9113383922936,-3649.646852774656,122.18217520008238,-529.2355553668663,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2010T4,2010,4,2157.249384689996,-134.88675530278397,-3688.6160842377726,103.62950484988689,-1562.6239500006736,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2011T1,2011,1,2082.902283180003,-851.7198948521955,-3497.991282914907,24.68113181601882,-2242.1277627710806,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2011T2,2011,2,4899.552325639997,-781.8153995963576,-3766.2691182055846,157.52041084440071,508.98821868245597,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2011T3,2011,3,2809.7430103399965,-882.7801481916476,-3654.538580758144,211.465858153944,-1516.1098604558508,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2011T4,2011,4,2558.733467630001,-636.1725944362634,-4154.268117972493,140.7754569280254,-2090.93178785073,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2012T1,2012,1,3047.272005509996,-1223.258519606071,-3756.498343929285,150.01547529852422,-1782.469382726836,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2012T2,2012,2,4601.251090010006,-1028.7734197202276,-3271.4628580248896,197.8935608709293,498.9083731358181,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2012T3,2012,3,4244.942988290008,-1016.302307483214,-3329.3444134664896,167.061149372726,66.35741671302998,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2012T4,2012,4,3147.446702729998,-828.8904771623365,-3396.535011632337,157.14201850971142,-920.8367675549642,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2013T1,2013,1,1011.6118350900068,-1730.276347655862,-3342.83109247128,175.6694195778245,-3885.8261854593106,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2013T2,2013,2,3779.5584929899305,-1276.9453289278645,-3280.780997060654,452.4221547686433,-325.7456782299447,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2013T3,2013,3,1363.0301404699749,-1353.9155153718589,-3262.5218748665707,231.30265286095016,-3022.1045969075044,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2013T4,2013,4,-1518.9652276399777,-967.7789233831818,-3278.693610445339,-125.25956379803269,-5890.697325266531,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2014T1,2014,1,-2016.89269814,-1550.7900779773877,-2782.570183022868,302.69830442292806,-6047.554654717328,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2014T2,2014,2,4303.176501880003,-1195.2917750872994,-2984.597741623317,523.0488413885497,646.3358265579369,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2014T3,2014,3,1849.5775944899976,-1120.5493603593304,-2992.040381249092,423.1861265335401,-1839.8260205848846,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2014T4,2014,4,1405.608414669996,-774.6609399772237,-2854.6391753119324,285.7102824879207,-1937.9814181312395,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2015T1,2015,1,-865.7509660800006,-1535.790663485728,-3223.061424895919,80.74132260380532,-5543.861731857843,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2015T2,2015,2,1462.5741518399973,-1246.7450143164397,-3088.221805392911,403.3311574023391,-2469.061510467014,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2015T3,2015,3,-280.8318086099989,-1543.5648470096885,-2886.2632007273774,202.73233173524983,-4507.927524611815,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2015T4,2015,4,-1101.1677697700015,-1488.9441684324206,-2907.052147588201,396.02968451732977,-5101.134401273293,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2016T1,2016,1,176.1460311999981,-2498.464919897237,-2894.775774804928,320.5840310094601,-4896.5106324927065,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2016T2,2016,2,1677.3962768599995,-1926.6833369133228,-2986.868841076214,305.5646183880904,-2930.591282741447,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2016T3,2016,3,1826.4757416799985,-2225.0634244791045,-2862.602659662403,294.0700202456852,-2967.1203222158238,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2016T4,2016,4,736.1388918600042,-1801.4435042461432,-3447.963465244451,202.70379052044257,-4310.564287110147,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2017T1,2017,1,-620.2832261399017,-3060.841502754379,-3777.929286230066,224.38517615076157,-7234.668838973585,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2017T2,2017,2,-712.2258264700995,-2068.6848586336323,-4033.1355644406985,208.7356560435481,-6605.310593500882,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2017T3,2017,3,-1679.3819389599994,-2549.236928983529,-3843.013913561656,-77.07207332407143,-8148.704854829256,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2017T4,2017,4,-2435.172115970101,-2016.675301852818,-4726.204941303196,15.384895667459205,-9162.667463458656,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2018T1,2018,1,-1665.2512606400014,-3396.702453224616,-4490.371978083075,155.92394487930665,-9396.401747068385,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2018T2,2018,2,-1696.4285568800024,-2536.8027819890626,-4653.571430040431,452.4152199354832,-8434.387548974013,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2018T3,2018,3,-745.7556917000984,-1952.9856401668223,-4897.812506233488,237.8342270035652,-7358.719611096843,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2018T4,2018,4,3364.2078310300003,-1048.7769106641026,-4608.474410681885,398.9459463982002,-1894.0975439177873,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2019T1,2019,1,2549.7567436201007,-1710.0138823063244,-4557.982940439666,284.5641744062454,-3433.675904719644,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2019T2,2019,2,4222.88573371,-1291.16311543983,-4839.903339463295,96.28576775641034,-1811.8949534367152,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2019T3,2019,3,4471.3585540001,-1285.236392177405,-4218.859633870051,224.3398226370174,-808.397649410338,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2019T4,2019,4,6989.722426970104,-556.7600274943693,-4115.418648145535,243.9451751522924,2561.488926482492,INDEC_BDP_C01_C03_C04_C05,2026-06-06
