periodo,anio,trimestre,cuenta_financiera,inversion_directa,inversion_cartera,derivados,otra_inversion,activos_reserva,fuente,fecha_carga
2006T1,2006,1,781.0366090451844,-1375.7522158133997,-2253.0962178930326,-15.956818675376914,11059.781861426995,-6633.9400000000005,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2006T2,2006,2,1980.8827775513732,-672.3911144975714,-1970.5647831530414,-32.36518517409769,813.1938603760859,3843.009999999998,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2006T3,2006,3,1232.3860821007038,-1116.8668211625682,-802.5281718343288,-37.99542602518548,659.8165011227867,2529.9599999999996,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2006T4,2006,4,3486.1254192702922,66.38308584120534,-2213.207615858119,212.961965181665,1629.1879841055386,3790.8000000000025,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2007T1,2007,1,1476.2967795479176,-717.4287926410873,-2299.261541577336,7.888173092375572,-174.59105932603052,4659.689999999996,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2007T2,2007,2,961.592292651113,-702.354074195666,-5662.703708935337,26.852835760734223,960.1572400213797,6339.640000000002,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2007T3,2007,3,696.7619231951833,-1530.0320419312516,1488.817167082117,-17.9536004130181,1597.6803984573326,-841.7499999999966,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2007T4,2007,4,2764.795884273001,-2019.1098920165691,-994.8148140931426,547.8,2298.780590382721,2932.1399999999917,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2008T1,2008,1,2610.935835630276,-3137.0013667311728,1033.6156245116222,-12.4,1192.5115778498202,3534.2100000000064,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2008T2,2008,2,-667.9617639146927,-1946.1918938561826,2143.693374549941,59.9,1695.5767553915457,-2620.939999999997,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2008T3,2008,3,4535.4995914165265,-1854.0751498344027,4012.078220251371,11.8,2415.1265209995636,-49.43000000000617,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2008T4,2008,4,75.48051958601741,-1397.350130225368,689.2018439969411,875.4,754.6888058144386,-846.4599999999942,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2009T1,2009,1,1063.5869247070818,-1329.3757745103107,826.3948064878924,-0.9,1300.3478927295025,267.11999999999756,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2009T2,2009,2,3073.7653591863022,-581.0007108799007,-29.59654571041915,3.1,4379.982615776626,-698.7200000000034,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2009T3,2009,3,556.7139102436709,-330.6616022199414,817.1472475578253,20.4,-1761.2617350942157,1811.0900000000029,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2009T4,2009,4,2018.7164232166647,-1064.5744335282575,539.1976282873003,1225.7,1351.6732284576196,-33.27999999999786,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2010T1,2010,1,-1661.3944548280297,-3159.370290897717,-211.4730920317578,23.4,1989.6489281014499,-303.60000000000474,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2010T2,2010,2,937.4883527963909,-1898.7373983172104,-1082.5785625728925,84.02500203350489,1730.3693116529846,2104.4100000000044,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2010T3,2010,3,-816.5830661495959,-2906.16744392378,-309.07495391212734,-798.7,1918.559331686316,1278.7999999999954,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2010T4,2010,4,-2261.614119243607,-2403.6828129039473,-1659.067007900354,-20.98296888819647,744.3786704488895,1077.740000000001,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2011T1,2011,1,-1876.309763218635,-3213.754561024705,-695.3641090160232,35.900902205972336,3156.3980046161178,-1159.489999999997,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2011T2,2011,2,168.13483168247285,-631.5065663162366,-84.94875826205532,161.25613773997824,497.6140185207846,225.72000000000185,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2011T3,2011,3,-3477.044647940562,-1390.3112757506183,-142.7218663064376,32.9471578232777,1176.561336293219,-3153.5200000000027,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2011T4,2011,4,-66.98339574580405,-4116.358541589941,779.8005773081763,2126.07720252451,3164.117366011451,-2020.6200000000008,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2012T1,2012,1,-2004.7884741421124,-4153.610510602022,-1906.213792623099,9.051,3376.1848290830085,669.8,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2012T2,2012,2,258.87385251624335,-3611.947769195852,425.71058259114426,0.588,4143.353039120945,-698.8299999999946,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2012T3,2012,3,-519.4454761566881,-3106.1195619114746,1401.3610500210946,26.028,2885.7750357336954,-1726.4900000000034,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2012T4,2012,4,-522.7755159956337,-3397.4064970584445,229.06048558306577,2872.51446603051,1322.2560294492378,-1549.2000000000025,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2013T1,2013,1,-4667.634965995302,-1941.4933847272007,-278.4842833055191,-12.23927698071179,148.01197901812884,-2583.4299999999994,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2013T2,2013,2,-734.449881623045,-2920.3769126504467,945.2573803610182,-14.421741732563984,3965.7813923989465,-2710.689999999999,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2013T3,2013,3,-4238.5788860752255,-2512.581247886782,189.68897494249399,1.5735580690479694,667.6398288000131,-2584.8999999999987,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2013T4,2013,4,-6524.232757559683,-1557.237454167224,-1289.0479922920522,-7.289210899793847,274.0818997993872,-3944.74,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2014T1,2014,1,-4502.537112010435,-38.74593728846389,-1163.764769984302,35.76389887315973,397.329696389172,-3733.120000000001,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2014T2,2014,2,431.613396444709,1743.9044694076865,4127.19346667318,-163.08490537175786,-7460.4096342644,2184.0099999999993,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2014T3,2014,3,-2166.98268372909,-2054.9372949955196,-445.1248241181683,-34.46402209854262,1350.3534574831392,-982.8099999999987,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2014T4,2014,4,-3082.7659053283783,-2795.0153459835155,-178.87347946892478,-6.421872165053861,-3829.485207710884,3727.03,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2015T1,2015,1,-5611.677988607577,-3273.2326350859876,-1184.6930445710284,-12.249590215221508,-1480.602718735339,339.0999999999996,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2015T2,2015,2,-2497.96955024568,-3175.3409975230124,-1308.4434980763967,-5.417840543837718,-308.85721410243104,2300.0899999999983,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2015T3,2015,3,-5404.413445695795,-2449.9288272944464,-414.1911533307396,-0.5935470513494758,-2312.602443233718,-227.09747478554206,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2015T4,2015,4,-4983.7882374038645,-1985.2583240283363,2470.088881627958,-6.730353255925343,1856.1740834668972,-7318.062525214458,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2016T1,2016,1,-4731.283369147586,-1851.933349452861,-4678.076929479244,31.7710951878252,-1778.044185403306,3545.0000000000005,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2016T2,2016,2,-3103.7064266474335,406.814663685974,-10691.490831991505,366.070462374666,5741.099279283428,1073.8000000000031,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2016T3,2016,3,-4655.929014421401,-702.9013110598331,-7707.499594315541,-31.75,4355.633845288887,-569.4119543349129,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2016T4,2016,4,-1473.1373744746234,674.386589800825,-12178.226499236542,-144.0465192121594,-87.09839570804888,10261.847449881301,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2017T1,2017,1,-6224.3610411775735,-3173.776414190709,-14042.875917619967,-140.0,194.07802879733237,10938.213261835772,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2017T2,2017,2,-6971.157988871818,-2020.8276050550348,-3760.1830873990993,6.9044,1607.3313540354857,-2804.3830504531697,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2017T3,2017,3,-8878.074828544972,-3042.8951128536182,-7208.312852498381,11.09,-523.1762442500785,1885.2193810571064,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2017T4,2017,4,-9199.594072416829,-2123.7321121605914,-10910.36763410541,25.78,-727.9302577851131,4536.655931634286,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2018T1,2018,1,-9547.095764916234,-2470.525574013645,-12953.380357882734,-26.635151104400055,-249.5858933176778,6153.0312114022245,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2018T2,2018,2,-9001.55351738603,-2210.538139074334,1874.0697430993391,-4.339928401618482,-9401.61181034855,740.8666173391343,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2018T3,2018,3,-7852.630263160405,-2655.9230502586192,1902.422975928426,30.437550125345012,5157.074437743948,-12286.642176699504,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2018T4,2018,4,-1634.5412393762927,-2653.8014827019924,2252.962312893217,-31.571359626606238,-17871.767834751874,16669.637124810964,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2019T1,2019,1,-3639.076747090643,-1968.561028555771,362.1901421301312,-23.801878334520612,-1963.7929065410717,-45.11107578941119,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2019T2,2019,2,-2372.771359871741,-380.71224606465444,6026.481923963032,-44.898121176333845,-6200.257435116001,-1773.3854814777844,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2019T3,2019,3,-1538.161570927865,-1231.3744696785484,-110.5991531386992,33.35303252490981,14593.523153453461,-14823.064134088989,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2019T4,2019,4,2430.744120666798,-1545.8119418917627,830.5088123610133,11.046637132962836,7867.997189446749,-4732.996576382165,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2020T1,2020,1,-511.54652969277777,-1593.9968936994237,-675.6393254256425,0.45319725249789056,2846.6687873947812,-1089.0322952149904,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2020T2,2020,2,3825.1519865846753,387.3868191036256,1259.2767866839024,3.496363119456751,2967.7054932480128,-792.7134755703223,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2020T3,2020,3,-375.6485226426594,-1249.86488872772,2268.4547918286157,-0.6177903855986095,1642.517470616544,-3036.1381059745004,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2020T4,2020,4,-1575.836927520248,-1250.4758040280917,-1281.3904760247078,7.081599521109545,3758.2347319808305,-2809.2869789693887,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2021T1,2021,1,1409.608248504298,-2213.8952144274617,1891.5611353144034,-3.1515522925753694,1055.4372728459696,679.656607063962,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
