periodo,anio,trimestre,ingresos,egresos,saldo,fuente,fecha_carga
2006T1,2006,1,1273.4058249417267,3451.154684342024,-2177.7488594002975,INDEC_BDP_C05,2026-06-08
2006T2,2006,2,1384.2103429959348,3543.2504101692844,-2159.0400671733496,INDEC_BDP_C05,2026-06-08
2006T3,2006,3,1492.5728091751982,3183.3163614460855,-1690.7435522708872,INDEC_BDP_C05,2026-06-08
2006T4,2006,4,1534.4243470786682,3229.50185113565,-1695.077504056982,INDEC_BDP_C05,2026-06-08
2007T1,2007,1,1561.8097767907839,3519.4716666429895,-1957.6618898522056,INDEC_BDP_C05,2026-06-08
2007T2,2007,2,1653.7556112669597,3535.0845595129063,-1881.3289482459465,INDEC_BDP_C05,2026-06-08
2007T3,2007,3,1771.187250507606,3436.8071820098385,-1665.6199315022325,INDEC_BDP_C05,2026-06-08
2007T4,2007,4,1637.9259641558788,3727.970958003376,-2090.044993847497,INDEC_BDP_C05,2026-06-08
2008T1,2008,1,1606.7313575070993,3861.269831434372,-2254.5384739272727,INDEC_BDP_C05,2026-06-08
2008T2,2008,2,1456.6204303638326,3686.4498546631844,-2229.8294242993516,INDEC_BDP_C05,2026-06-08
2008T3,2008,3,1439.6477847043946,3666.1384382862643,-2226.49065358187,INDEC_BDP_C05,2026-06-08
2008T4,2008,4,1121.9945576112852,3445.3267058411893,-2323.3321482299043,INDEC_BDP_C05,2026-06-08
2009T1,2009,1,913.3036737688403,3285.9863178017954,-2372.682644032955,INDEC_BDP_C05,2026-06-08
2009T2,2009,2,1034.2489292344433,3453.8045022278316,-2419.5555729933885,INDEC_BDP_C05,2026-06-08
2009T3,2009,3,824.0374066774949,3352.849628479349,-2528.8122218018543,INDEC_BDP_C05,2026-06-08
2009T4,2009,4,759.5706900329276,3757.395252777699,-2997.8245627447714,INDEC_BDP_C05,2026-06-08
2010T1,2010,1,786.015915797229,4508.891415619899,-3722.87549982267,INDEC_BDP_C05,2026-06-08
2010T2,2010,2,632.16949662906,4118.564263730916,-3486.394767101856,INDEC_BDP_C05,2026-06-08
2010T3,2010,3,638.2891896145834,4287.936042389239,-3649.646852774656,INDEC_BDP_C05,2026-06-08
2010T4,2010,4,708.7171701754545,4397.333254413227,-3688.6160842377726,INDEC_BDP_C05,2026-06-08
2011T1,2011,1,849.6076872948353,4347.598970209742,-3497.991282914907,INDEC_BDP_C05,2026-06-08
2011T2,2011,2,868.2991764209651,4634.56829462655,-3766.2691182055846,INDEC_BDP_C05,2026-06-08
2011T3,2011,3,825.4494911190358,4479.98807187718,-3654.5385807581442,INDEC_BDP_C05,2026-06-08
2011T4,2011,4,692.5062237552215,4846.774341727715,-4154.268117972493,INDEC_BDP_C05,2026-06-08
2012T1,2012,1,593.4153681959183,4349.913712125203,-3756.498343929285,INDEC_BDP_C05,2026-06-08
2012T2,2012,2,635.534141745637,3906.9969997705266,-3271.4628580248896,INDEC_BDP_C05,2026-06-08
2012T3,2012,3,471.2039976063003,3800.54841107279,-3329.3444134664896,INDEC_BDP_C05,2026-06-08
2012T4,2012,4,555.3323035719442,3951.867315204281,-3396.535011632337,INDEC_BDP_C05,2026-06-08
2013T1,2013,1,558.6193551766543,3901.4504476479337,-3342.8310924712796,INDEC_BDP_C05,2026-06-08
2013T2,2013,2,633.6172292172419,3914.398226277896,-3280.780997060654,INDEC_BDP_C05,2026-06-08
2013T3,2013,3,608.6768815720278,3871.1987564385986,-3262.5218748665707,INDEC_BDP_C05,2026-06-08
2013T4,2013,4,625.7915497520528,3904.4851601973915,-3278.693610445339,INDEC_BDP_C05,2026-06-08
2014T1,2014,1,616.8264731262146,3399.396656149083,-2782.570183022868,INDEC_BDP_C05,2026-06-08
2014T2,2014,2,700.2481500627988,3684.8458916861155,-2984.597741623317,INDEC_BDP_C05,2026-06-08
2014T3,2014,3,686.2369048083489,3678.277286057441,-2992.040381249092,INDEC_BDP_C05,2026-06-08
2014T4,2014,4,558.4581916175083,3413.097366929441,-2854.6391753119324,INDEC_BDP_C05,2026-06-08
2015T1,2015,1,497.7774550885732,3720.8388799844925,-3223.061424895919,INDEC_BDP_C05,2026-06-08
2015T2,2015,2,558.5979908260795,3646.8197962189906,-3088.221805392911,INDEC_BDP_C05,2026-06-08
2015T3,2015,3,680.7172112067054,3566.980411934083,-2886.2632007273774,INDEC_BDP_C05,2026-06-08
2015T4,2015,4,622.2699192643904,3529.322066852591,-2907.0521475882006,INDEC_BDP_C05,2026-06-08
2016T1,2016,1,673.523882162796,3568.2996569677234,-2894.7757748049276,INDEC_BDP_C05,2026-06-08
2016T2,2016,2,724.030267770246,3710.89910884646,-2986.868841076214,INDEC_BDP_C05,2026-06-08
2016T3,2016,3,700.9496654044351,3563.552325066838,-2862.602659662403,INDEC_BDP_C05,2026-06-08
2016T4,2016,4,725.9671346570713,4173.930599901522,-3447.963465244451,INDEC_BDP_C05,2026-06-08
2017T1,2017,1,818.5464667752506,4596.475753005317,-3777.9292862300663,INDEC_BDP_C05,2026-06-08
2017T2,2017,2,911.5896661243952,4944.725230565094,-4033.1355644406985,INDEC_BDP_C05,2026-06-08
2017T3,2017,3,1079.6735940076542,4922.68750756931,-3843.0139135616555,INDEC_BDP_C05,2026-06-08
2017T4,2017,4,1206.8302819154062,5933.035223218602,-4726.204941303196,INDEC_BDP_C05,2026-06-08
2018T1,2018,1,1490.915042064341,5981.287020147416,-4490.371978083075,INDEC_BDP_C05,2026-06-08
2018T2,2018,2,1660.914498006826,6314.4859280472565,-4653.571430040431,INDEC_BDP_C05,2026-06-08
2018T3,2018,3,1618.3389674644447,6516.151473697933,-4897.812506233488,INDEC_BDP_C05,2026-06-08
2018T4,2018,4,1506.7082705812704,6115.182681263155,-4608.474410681885,INDEC_BDP_C05,2026-06-08
2019T1,2019,1,1608.655760493261,6166.638700932927,-4557.982940439666,INDEC_BDP_C05,2026-06-08
2019T2,2019,2,1761.2411543486282,6601.144493811923,-4839.903339463295,INDEC_BDP_C05,2026-06-08
2019T3,2019,3,1589.2782892628695,5808.13792313292,-4218.859633870051,INDEC_BDP_C05,2026-06-08
2019T4,2019,4,1368.9511297018873,5484.3697778474225,-4115.418648145535,INDEC_BDP_C05,2026-06-08
2020T1,2020,1,1330.639812424374,4418.275535038975,-3087.635722614601,INDEC_BDP_C05,2026-06-08
2020T2,2020,2,934.243387334759,3508.632324820694,-2574.388937485935,INDEC_BDP_C05,2026-06-08
2020T3,2020,3,868.3725285716076,3460.4903715595997,-2592.117842987992,INDEC_BDP_C05,2026-06-08
2020T4,2020,4,672.0159906877499,2923.4512367284638,-2251.435246040714,INDEC_BDP_C05,2026-06-08
2021T1,2021,1,651.1456001272943,3154.342754084528,-2503.197153957234,INDEC_BDP_C05,2026-06-08
2021T2,2021,2,641.0358347805583,3055.19998676555,-2414.164151984992,INDEC_BDP_C05,2026-06-08
2021T3,2021,3,601.6082053903818,3208.1817129993724,-2606.5735076089904,INDEC_BDP_C05,2026-06-08
2021T4,2021,4,651.0837915786801,2899.7833496478165,-2248.6995580691364,INDEC_BDP_C05,2026-06-08
2022T1,2022,1,631.6276367901897,3202.28893819619,-2570.6613014060003,INDEC_BDP_C05,2026-06-08
2022T2,2022,2,826.7339705161503,3799.0157514702646,-2972.2817809541143,INDEC_BDP_C05,2026-06-08
2022T3,2022,3,1026.2519175422326,3995.361788651212,-2969.1098711089794,INDEC_BDP_C05,2026-06-08
2022T4,2022,4,1339.3102621807436,4403.810546240627,-3064.5002840598836,INDEC_BDP_C05,2026-06-08
2023T1,2023,1,1521.6718919865916,4880.835522610683,-3359.1636306240916,INDEC_BDP_C05,2026-06-08
2023T2,2023,2,1597.9456655777913,5225.954753818176,-3628.0090882403847,INDEC_BDP_C05,2026-06-08
2023T3,2023,3,1325.3663537766522,4846.762337931586,-3521.395984154934,INDEC_BDP_C05,2026-06-08
2023T4,2023,4,1866.192711368892,5315.662859402751,-3449.4701480338585,INDEC_BDP_C05,2026-06-08
2024T1,2024,1,1436.9587497066314,5497.929131730522,-4060.970382023891,INDEC_BDP_C05,2026-06-08
2024T2,2024,2,1588.0240911418016,4628.536515328757,-3040.5124241869553,INDEC_BDP_C05,2026-06-08
2024T3,2024,3,1454.1289043419051,4639.063390919963,-3184.934486578058,INDEC_BDP_C05,2026-06-08
2024T4,2024,4,1813.4614299620955,4790.109859311606,-2976.6484293495105,INDEC_BDP_C05,2026-06-08
2025T1,2025,1,1499.3036974937677,4736.764074195078,-3237.4603767013105,INDEC_BDP_C05,2026-06-08
2025T2,2025,2,1535.687670299737,5421.612973950282,-3885.925303650545,INDEC_BDP_C05,2026-06-08
2025T3,2025,3,1592.8116626679332,5417.012094768972,-3824.200432101039,INDEC_BDP_C05,2026-06-08
2025T4,2025,4,1774.4884395005217,4727.368417284606,-2952.879977784084,INDEC_BDP_C05,2026-06-08
