periodo,anio,trimestre,ingresos,egresos,saldo,fuente,fecha_carga
2006T1,2006,1,387.51357193259776,197.57378127211692,189.93979066048084,INDEC_BDP_C01_ING_SEC,2026-06-08
2006T2,2006,2,469.6837789303614,197.2572931378042,272.42648579255723,INDEC_BDP_C01_ING_SEC,2026-06-08
2006T3,2006,3,448.16541355740424,227.43137195586402,220.7340416015402,INDEC_BDP_C01_ING_SEC,2026-06-08
2006T4,2006,4,492.2582900016679,220.58867810948763,271.6696118921802,INDEC_BDP_C01_ING_SEC,2026-06-08
2007T1,2007,1,452.7047250936946,221.00997099151826,231.69475410217635,INDEC_BDP_C01_ING_SEC,2026-06-08
2007T2,2007,2,500.6629511318853,215.39377355680574,285.26917757507954,INDEC_BDP_C01_ING_SEC,2026-06-08
2007T3,2007,3,534.6424814060701,283.54746528284375,251.0950161232264,INDEC_BDP_C01_ING_SEC,2026-06-08
2007T4,2007,4,619.724380212035,315.1696479666656,304.55473224536945,INDEC_BDP_C01_ING_SEC,2026-06-08
2008T1,2008,1,559.1014924477445,284.9761941304688,274.1252983172757,INDEC_BDP_C01_ING_SEC,2026-06-08
2008T2,2008,2,595.42356310218,281.7969036873631,313.62665941481686,INDEC_BDP_C01_ING_SEC,2026-06-08
2008T3,2008,3,629.8924010969923,370.3974945887759,259.49490650821645,INDEC_BDP_C01_ING_SEC,2026-06-08
2008T4,2008,4,626.137101021802,358.92390991038445,267.21319111141753,INDEC_BDP_C01_ING_SEC,2026-06-08
2009T1,2009,1,565.0831265483987,369.6005845068456,195.48254204155307,INDEC_BDP_C01_ING_SEC,2026-06-08
2009T2,2009,2,575.0124307093677,307.03644970409505,267.9759810052726,INDEC_BDP_C01_ING_SEC,2026-06-08
2009T3,2009,3,549.0889943437235,357.2412377779362,191.84775656578728,INDEC_BDP_C01_ING_SEC,2026-06-08
2009T4,2009,4,653.9073317416605,389.04143624001523,264.8658955016453,INDEC_BDP_C01_ING_SEC,2026-06-08
2010T1,2010,1,566.7602251901151,426.77699975257616,139.98322543753892,INDEC_BDP_C01_ING_SEC,2026-06-08
2010T2,2010,2,619.5840076505282,404.3622290300753,215.22177862045288,INDEC_BDP_C01_ING_SEC,2026-06-08
2010T3,2010,3,577.6118487497625,455.42967354968016,122.18217520008238,INDEC_BDP_C01_ING_SEC,2026-06-08
2010T4,2010,4,651.1057490942412,547.4762442443543,103.62950484988687,INDEC_BDP_C01_ING_SEC,2026-06-08
2011T1,2011,1,604.985723439217,580.3045916231982,24.68113181601882,INDEC_BDP_C01_ING_SEC,2026-06-08
2011T2,2011,2,653.1884672012429,495.6680563568422,157.52041084440071,INDEC_BDP_C01_ING_SEC,2026-06-08
2011T3,2011,3,704.9003745623509,493.43451640840686,211.465858153944,INDEC_BDP_C01_ING_SEC,2026-06-08
