periodo,anio,trimestre,saldo_cuenta_corriente,cuenta_capital,cuenta_financiera,saldo_global,fuente,fecha_carga
2006T1,2006,1,703.2668735325028,10.4,781.0366090451844,1494.7034825776873,INDEC_BDP_RESUMEN,2026-06-08
2006T2,2006,2,1916.5944511793468,39.9,1980.8827775513728,3937.3772287307197,INDEC_BDP_RESUMEN,2026-06-08
2006T3,2006,3,1516.866479194672,45.43041210224308,1232.3860821007038,2794.6829733976188,INDEC_BDP_RESUMEN,2026-06-08
2006T4,2006,4,2362.0747162980106,1.893915702557729,3486.125419270292,5850.09405127086,INDEC_BDP_RESUMEN,2026-06-08
2007T1,2007,1,601.8020874218719,11.500000000000004,1476.2967795479176,2089.5988669697895,INDEC_BDP_RESUMEN,2026-06-08
2007T2,2007,2,2026.190555180112,6.683196445401912,961.592292651113,2994.466044276627,INDEC_BDP_RESUMEN,2026-06-08
2007T3,2007,3,449.26482667158,102.210715522771,696.7619231951833,1248.2374653895342,INDEC_BDP_RESUMEN,2026-06-08
2007T4,2007,4,2971.280423613133,0.7519770000000008,2764.795884273001,5736.828284886134,INDEC_BDP_RESUMEN,2026-06-08
2008T1,2008,1,1323.2145641691031,43.631,2610.935835630276,3977.781399799379,INDEC_BDP_RESUMEN,2026-06-08
2008T2,2008,2,319.2597939382235,14.75114479200258,-667.9617639146927,-333.9508251844666,INDEC_BDP_RESUMEN,2026-06-08
2008T3,2008,3,2991.9188202673795,123.80000000000004,4535.499591416527,7651.218411683907,INDEC_BDP_RESUMEN,2026-06-08
2008T4,2008,4,786.8131502353796,2.877871934875153,75.48051958601741,865.1715417562722,INDEC_BDP_RESUMEN,2026-06-08
2009T1,2009,1,1190.691554368218,22.06829677346122,1063.5869247070818,2276.3467758487614,INDEC_BDP_RESUMEN,2026-06-08
2009T2,2009,2,4297.8250882935445,0.6000000000000001,3073.7653591863022,7372.190447479847,INDEC_BDP_RESUMEN,2026-06-08
2009T3,2009,3,704.7218968971019,54.716731891664914,556.7139102436709,1316.1525390324377,INDEC_BDP_RESUMEN,2026-06-08
2009T4,2009,4,1060.8771443781557,2.5991993196064977,2018.716423216665,3082.192766914427,INDEC_BDP_RESUMEN,2026-06-08
2010T1,2010,1,-1632.519837076987,17.275787489199026,-1661.3944548280297,-3276.638504415818,INDEC_BDP_RESUMEN,2026-06-08
2010T2,2010,2,2101.383471193836,3.9,937.4883527963908,3042.771823990227,INDEC_BDP_RESUMEN,2026-06-08
2010T3,2010,3,-529.2355553668663,54.735,-816.5830661495959,-1291.0836215164622,INDEC_BDP_RESUMEN,2026-06-08
2010T4,2010,4,-1562.6239500006736,2.5670972475690377,-2261.614119243607,-3821.6709719967116,INDEC_BDP_RESUMEN,2026-06-08
2011T1,2011,1,-2242.1277627710806,16.4506,-1876.309763218635,-4101.986925989715,INDEC_BDP_RESUMEN,2026-06-08
2011T2,2011,2,508.988218682456,1.15,168.13483168247285,678.2730503649288,INDEC_BDP_RESUMEN,2026-06-08
2011T3,2011,3,-1516.1098604558508,44.622,-3477.044647940562,-4948.532508396413,INDEC_BDP_RESUMEN,2026-06-08
2011T4,2011,4,-2090.93178785073,0.5012462235649546,-66.98339574580405,-2157.413937372969,INDEC_BDP_RESUMEN,2026-06-08
2012T1,2012,1,-1782.469382726836,0.8500000000000005,-2004.7884741421124,-3786.4078568689483,INDEC_BDP_RESUMEN,2026-06-08
2012T2,2012,2,498.9083731358181,22.19029956881956,258.87385251624335,779.972525220881,INDEC_BDP_RESUMEN,2026-06-08
2012T3,2012,3,66.35741671302998,28.495,-519.4454761566881,-424.5930594436581,INDEC_BDP_RESUMEN,2026-06-08
2012T4,2012,4,-920.8367675549642,-3.651255000000001,-522.7755159956337,-1447.2635385505978,INDEC_BDP_RESUMEN,2026-06-08
2013T1,2013,1,-3885.826185459311,1.0157562184378577,-4667.634965995302,-8552.445395236176,INDEC_BDP_RESUMEN,2026-06-08
2013T2,2013,2,-325.7456782299447,0.2678375,-734.449881623045,-1059.9277223529898,INDEC_BDP_RESUMEN,2026-06-08
2013T3,2013,3,-3022.1045969075044,32.6452675,-4238.5788860752255,-7228.038215482729,INDEC_BDP_RESUMEN,2026-06-08
2013T4,2013,4,-5890.697325266531,-0.5159874999999998,-6524.232757559683,-12415.446070326214,INDEC_BDP_RESUMEN,2026-06-08
2014T1,2014,1,-6047.554654717328,1.7280130000000002,-4502.537112010435,-10548.363753727763,INDEC_BDP_RESUMEN,2026-06-08
2014T2,2014,2,646.3358265579369,16.017006592313237,431.613396444709,1093.9662295949593,INDEC_BDP_RESUMEN,2026-06-08
2014T3,2014,3,-1839.8260205848849,39.69780832972555,-2166.98268372909,-3967.110895984249,INDEC_BDP_RESUMEN,2026-06-08
2014T4,2014,4,-1937.9814181312397,-0.6457227883037213,-3082.7659053283783,-5021.393046247922,INDEC_BDP_RESUMEN,2026-06-08
2015T1,2015,1,-5543.861731857843,9.55277,-5611.677988607577,-11145.98695046542,INDEC_BDP_RESUMEN,2026-06-08
2015T2,2015,2,-2469.061510467014,2.710418188896123,-2497.96955024568,-4964.320642523798,INDEC_BDP_RESUMEN,2026-06-08
2015T3,2015,3,-4507.927524611815,38.524692834982666,-5404.413445695795,-9873.816277472628,INDEC_BDP_RESUMEN,2026-06-08
2015T4,2015,4,-5101.134401273293,1.1413187445868704,-4983.7882374038645,-10083.781319932572,INDEC_BDP_RESUMEN,2026-06-08
2016T1,2016,1,-4896.5106324927065,83.36852178607795,-4731.283369147586,-9544.425479854215,INDEC_BDP_RESUMEN,2026-06-08
2016T2,2016,2,-2930.591282741447,32.325525414736944,-3103.706426647433,-6001.972183974143,INDEC_BDP_RESUMEN,2026-06-08
2016T3,2016,3,-2967.120322215824,109.37907340542742,-4655.929014421401,-7513.670263231797,INDEC_BDP_RESUMEN,2026-06-08
