periodo,anio,trimestre,ingresos,egresos,saldo,fuente,fecha_carga
2006T1,2006,1,1945.1375402847775,2160.3615980124587,-215.22405772768116,INDEC_BDP_C04,2026-06-08
2006T2,2006,2,1712.9188135727065,2033.2107810125656,-320.29196743985904,INDEC_BDP_C04,2026-06-08
2006T3,2006,3,1898.8543692299554,2167.478379365938,-268.62401013598264,INDEC_BDP_C04,2026-06-08
2006T4,2006,4,2354.1043698329413,2312.92176137013,41.18260846281146,INDEC_BDP_C04,2026-06-08
2007T1,2007,1,2600.129718831908,2696.860495660009,-96.73077682810072,INDEC_BDP_C04,2026-06-08
2007T2,2007,2,2154.1851770687995,2516.1348512178215,-361.94967414902203,INDEC_BDP_C04,2026-06-08
2007T3,2007,3,2321.4118617502927,2803.8841196997073,-482.4722579494146,INDEC_BDP_C04,2026-06-08
2007T4,2007,4,2970.009738524707,3010.339053309446,-40.32931478473938,INDEC_BDP_C04,2026-06-08
2008T1,2008,1,2943.99757674031,3500.76983696121,-556.7722602209001,INDEC_BDP_C04,2026-06-08
2008T2,2008,2,2579.4281344215733,3286.2655755988144,-706.8374411772411,INDEC_BDP_C04,2026-06-08
2008T3,2008,3,2838.1610186085863,3537.7184512675562,-699.5574326589699,INDEC_BDP_C04,2026-06-08
2008T4,2008,4,3062.562342005858,3321.730234651994,-259.1678926461359,INDEC_BDP_C04,2026-06-08
2009T1,2009,1,2755.1961460775024,3386.0044897178823,-630.8083436403799,INDEC_BDP_C04,2026-06-08
2009T2,2009,2,2346.016204515654,2696.050524233993,-350.03431971833925,INDEC_BDP_C04,2026-06-08
2009T3,2009,3,2313.686856927278,3036.4884947941086,-722.8016378668308,INDEC_BDP_C04,2026-06-08
2009T4,2009,4,3129.7221161143393,3418.109304493057,-288.38718837871784,INDEC_BDP_C04,2026-06-08
2010T1,2010,1,3164.9857716126107,3735.5936919544683,-570.6079203418576,INDEC_BDP_C04,2026-06-08
2010T2,2010,2,2987.7524546342515,3551.93509050901,-564.1826358747585,INDEC_BDP_C04,2026-06-08
