fecha,valor
2022-03-31,110.9783
2022-04-01,111.125
2022-04-04,111.5583
2022-04-05,111.6983
2022-04-06,111.8433
2022-04-07,111.9783
2022-04-08,112.13
2022-04-11,112.5917
2022-04-12,112.735
2022-04-13,112.9133
2022-04-18,113.6617
2022-04-19,113.7867
2022-04-20,113.9483
2022-04-21,114.1067
2022-04-22,114.2517
2022-04-25,114.695
2022-04-26,114.8417
2022-04-27,115.005
2022-04-28,115.1733
2022-04-29,115.3117
2022-05-02,115.7517
2022-05-03,115.875
2022-05-04,116.015
2022-05-05,116.1583
2022-05-06,116.305
2022-05-09,116.755
2022-05-10,116.915
2022-05-11,117.0883
2022-05-12,117.2517
2022-05-13,117.4067
2022-05-16,117.8717
2022-05-17,118.0383
2022-05-19,118.3583
2022-05-20,118.4917
2022-05-23,118.9483
2022-05-24,119.1017
2022-05-26,119.4167
2022-05-27,119.5583
2022-05-30,120.005
2022-05-31,120.1617
2022-06-01,120.325
2022-06-02,120.4683
2022-06-03,120.6283
2022-06-06,121.1083
2022-06-07,121.2783
2022-06-08,121.455
2022-06-09,121.625
2022-06-10,121.7933
2022-06-13,122.2983
2022-06-14,122.475
2022-06-15,122.69
2022-06-16,122.895
2022-06-21,123.685
2022-06-22,123.8617
2022-06-23,124.0333
2022-06-24,124.255
2022-06-27,124.705
2022-06-28,124.875
2022-06-29,125.045
2022-06-30,125.215
2022-07-01,125.4117
2022-07-04,125.9883
2022-07-05,126.1833
2022-07-06,126.3783
2022-07-07,126.57
2022-07-08,126.7783
2022-07-11,127.3717
2022-07-12,127.5733
2022-07-13,127.7933
2022-07-14,128.0167
2022-07-15,128.2317
2022-07-18,128.8983
2022-07-19,129.1267
2022-07-20,129.39
2022-07-21,129.61
2022-07-22,129.76
2022-07-25,130.4033
2022-07-26,130.6233
2022-07-27,130.8933
2022-07-28,131.125
2022-07-29,131.2267
2022-08-01,131.935
2022-08-02,132.1783
2022-08-03,132.41
2022-08-04,132.6417
2022-08-05,132.8867
