fecha,valor
2011-01-03,3.98
2011-01-04,3.98
2011-01-05,3.98
2011-01-06,3.98
2011-01-07,3.98
2011-01-08,3.98
2011-01-09,3.98
2011-01-10,3.98
2011-01-11,3.98
2011-01-12,3.98
2011-01-13,3.98
2011-01-14,3.98
2011-01-15,3.98
2011-01-16,3.98
2011-01-17,3.98
2011-01-18,3.99
2011-01-19,3.99
2011-01-20,3.99
2011-01-21,3.99
2011-01-22,3.99
2011-01-23,3.99
2011-01-24,3.99
2011-01-25,3.99
2011-01-26,3.99
2011-01-27,4.0
2011-01-28,4.01
2011-01-29,4.01
2011-01-30,4.01
2011-01-31,4.01
2011-02-01,4.01
2011-02-02,4.02
2011-02-03,4.02
2011-02-04,4.02
2011-02-05,4.02
2011-02-06,4.02
2011-02-07,4.02
2011-02-08,4.02
2011-02-09,4.02
2011-02-10,4.02
2011-02-11,4.03
2011-02-12,4.03
2011-02-13,4.03
2011-02-14,4.03
2011-02-15,4.03
2011-02-16,4.03
2011-02-17,4.03
2011-02-18,4.03
2011-02-19,4.03
2011-02-20,4.03
2011-02-21,4.03
2011-02-22,4.03
2011-02-23,4.03
2011-02-24,4.03
2011-02-25,4.03
2011-02-26,4.03
2011-02-27,4.03
2011-02-28,4.03
2011-03-01,4.04
2011-03-02,4.03
2011-03-03,4.03
2011-03-04,4.03
2011-03-05,4.03
2011-03-06,4.03
2011-03-07,4.03
2011-03-08,4.03
2011-03-09,4.04
2011-03-10,4.04
2011-03-11,4.03
2011-03-12,4.03
2011-03-13,4.03
2011-03-14,4.03
2011-03-15,4.04
2011-03-16,4.04
2011-03-17,4.04
2011-03-18,4.04
2011-03-19,4.04
2011-03-20,4.04
2011-03-21,4.05
2011-03-22,4.05
2011-03-23,4.05
2011-03-24,4.05
2011-03-25,4.05
2011-03-26,4.05
2011-03-27,4.05
2011-03-28,4.05
2011-03-29,4.05
2011-03-30,4.05
2011-03-31,4.06
2011-04-01,4.06
2011-04-02,4.06
2011-04-03,4.06
2011-04-04,4.06
2011-04-05,4.06
2011-04-06,4.06
2011-04-07,4.06
2011-04-08,4.06
2011-04-09,4.06
2011-04-10,4.06
2011-04-11,4.06
2011-04-12,4.06
2011-04-13,4.06
2011-04-14,4.07
2011-04-15,4.07
2011-04-16,4.07
2011-04-17,4.07
2011-04-18,4.08
2011-04-19,4.08
2011-04-20,4.08
2011-04-21,4.08
2011-04-22,4.08
2011-04-23,4.08
2011-04-24,4.08
2011-04-25,4.09
2011-04-26,4.09
2011-04-27,4.09
2011-04-28,4.08
2011-04-29,4.08
2011-04-30,4.08
2011-05-01,4.08
2011-05-02,4.08
2011-05-03,4.08
2011-05-04,4.08
2011-05-05,4.08
2011-05-06,4.09
2011-05-07,4.09
2011-05-08,4.09
2011-05-09,4.09
2011-05-10,4.09
2011-05-11,4.09
2011-05-12,4.09
2011-05-13,4.09
2011-05-14,4.09
2011-05-15,4.09
2011-05-16,4.09
2011-05-17,4.09
2011-05-18,4.09
2011-05-19,4.09
2011-05-20,4.09
2011-05-21,4.09
2011-05-22,4.09
2011-05-23,4.09
2011-05-24,4.09
2011-05-25,4.09
2011-05-26,4.09
2011-05-27,4.09
2011-05-28,4.09
2011-05-29,4.09
2011-05-30,4.09
2011-05-31,4.09
2011-06-01,4.09
2011-06-02,4.1
2011-06-03,4.1
2011-06-04,4.1
2011-06-05,4.1
2011-06-06,4.1
2011-06-07,4.1
2011-06-08,4.1
2011-06-09,4.1
2011-06-10,4.1
2011-06-11,4.1
2011-06-12,4.1
2011-06-13,4.1
2011-06-14,4.1
2011-06-15,4.1
2011-06-16,4.1
2011-06-17,4.1
2011-06-18,4.1
2011-06-19,4.1
2011-06-20,4.1
2011-06-21,4.1
2011-06-22,4.1
2011-06-23,4.1
2011-06-24,4.1
2011-06-25,4.1
2011-06-26,4.1
2011-06-27,4.11
2011-06-28,4.11
2011-06-29,4.11
2011-06-30,4.12
2011-07-01,4.11
2011-07-02,4.11
2011-07-03,4.11
2011-07-04,4.11
2011-07-05,4.12
2011-07-06,4.12
2011-07-07,4.13
2011-07-08,4.13
2011-07-09,4.13
2011-07-10,4.13
2011-07-11,4.13
2011-07-12,4.13
2011-07-13,4.13
2011-07-14,4.13
2011-07-15,4.13
2011-07-16,4.13
2011-07-17,4.13
2011-07-18,4.13
2011-07-19,4.14
2011-07-20,4.14
2011-07-21,4.14
2011-07-22,4.14
2011-07-23,4.14
2011-07-24,4.14
2011-07-25,4.14
2011-07-26,4.14
2011-07-27,4.14
2011-07-28,4.15
2011-07-29,4.15
2011-07-30,4.15
2011-07-31,4.15
2011-08-01,4.15
2011-08-02,4.15
2011-08-03,4.16
2011-08-04,4.16
2011-08-05,4.16
2011-08-06,4.16
2011-08-07,4.16
2011-08-08,4.16
2011-08-09,4.16
2011-08-10,4.16
2011-08-11,4.16
2011-08-12,4.16
2011-08-13,4.16
2011-08-14,4.16
2011-08-15,4.17
2011-08-16,4.17
2011-08-17,4.17
2011-08-18,4.18
2011-08-19,4.18
2011-08-20,4.18
2011-08-21,4.18
2011-08-22,4.18
2011-08-23,4.19
2011-08-24,4.19
2011-08-25,4.19
2011-08-26,4.19
2011-08-27,4.19
2011-08-28,4.19
2011-08-29,4.19
2011-08-30,4.2
2011-08-31,4.2
2011-09-01,4.23
2011-09-02,4.21
2011-09-03,4.21
2011-09-04,4.21
2011-09-05,4.21
2011-09-06,4.21
2011-09-07,4.21
2011-09-08,4.21
2011-09-09,4.21
2011-09-10,4.21
2011-09-11,4.21
2011-09-12,4.21
2011-09-13,4.21
2011-09-14,4.21
2011-09-15,4.21
2011-09-16,4.21
2011-09-17,4.21
2011-09-18,4.21
2011-09-19,4.21
2011-09-20,4.19
2011-09-21,4.19
2011-09-22,4.2
2011-09-23,4.21
2011-09-24,4.21
2011-09-25,4.21
2011-09-26,4.21
2011-09-27,4.21
2011-09-28,4.21
2011-09-29,4.21
2011-09-30,4.21
2011-10-01,4.21
2011-10-02,4.21
2011-10-03,4.21
2011-10-04,4.21
2011-10-05,4.21
2011-10-06,4.21
2011-10-07,4.21
2011-10-08,4.21
2011-10-09,4.21
2011-10-10,4.21
2011-10-11,4.22
2011-10-12,4.22
2011-10-13,4.22
2011-10-14,4.22
2011-10-15,4.22
2011-10-16,4.22
2011-10-17,4.23
2011-10-18,4.23
2011-10-19,4.24
2011-10-20,4.24
2011-10-21,4.24
2011-10-22,4.24
2011-10-23,4.24
2011-10-24,4.24
2011-10-25,4.24
2011-10-26,4.24
2011-10-27,4.24
2011-10-28,4.24
2011-10-29,4.24
2011-10-30,4.24
2011-10-31,4.24
2011-11-01,4.25
2011-11-02,4.26
2011-11-03,4.25
2011-11-04,4.26
2011-11-05,4.26
2011-11-06,4.26
2011-11-07,4.26
2011-11-08,4.26
2011-11-09,4.27
2011-11-10,4.27
2011-11-11,4.27
2011-11-12,4.27
2011-11-13,4.27
2011-11-14,4.28
2011-11-15,4.27
2011-11-16,4.26
2011-11-17,4.26
2011-11-18,4.26
2011-11-19,4.26
2011-11-20,4.26
2011-11-21,4.26
2011-11-22,4.26
2011-11-23,4.27
2011-11-24,4.27
2011-11-25,4.27
2011-11-26,4.27
2011-11-27,4.27
2011-11-28,4.27
2011-11-29,4.28
2011-11-30,4.29
2011-12-01,4.29
2011-12-02,4.29
2011-12-03,4.29
2011-12-04,4.29
2011-12-05,4.29
2011-12-06,4.28
2011-12-07,4.28
2011-12-08,4.28
2011-12-09,4.28
2011-12-10,4.28
2011-12-11,4.28
2011-12-12,4.28
2011-12-13,4.28
2011-12-14,4.29
