fecha,valor
2022-04-22,119.69
2022-04-25,119.78
2022-04-26,120.1
2022-04-27,120.13
2022-04-28,120.29
2022-04-29,120.64
2022-05-02,120.97
2022-05-03,121.33
2022-05-04,121.45
2022-05-05,121.73
2022-05-06,121.97
2022-05-09,122.16
2022-05-10,122.32
2022-05-11,122.5
2022-05-12,122.7
2022-05-13,123.11
2022-05-16,123.27
2022-05-17,123.55
2022-05-19,123.77
2022-05-20,123.91
2022-05-23,124.33
2022-05-24,124.45
2022-05-26,124.62
2022-05-27,124.81
2022-05-30,125.48
2022-05-31,125.62
2022-06-01,125.88
2022-06-02,125.95
2022-06-03,125.57
2022-06-06,126.6
2022-06-07,126.65
2022-06-08,126.77
2022-06-09,127.0
2022-06-10,127.09
2022-06-13,127.6
2022-06-14,127.62
2022-06-15,128.03
2022-06-16,128.19
2022-06-21,128.99
2022-06-22,129.01
2022-06-23,129.11
2022-06-24,129.15
2022-06-27,130.07
2022-06-28,130.14
2022-06-29,129.99
2022-06-30,130.44
2022-07-01,130.69
2022-07-04,132.07
2022-07-05,132.54
2022-07-06,132.85
2022-07-07,133.27
2022-07-08,133.89
2022-07-11,134.67
2022-07-12,134.88
2022-07-13,135.15
2022-07-14,135.21
2022-07-15,135.29
2022-07-18,135.79
2022-07-19,136.08
2022-07-20,136.1
2022-07-21,136.32
2022-07-22,136.61
2022-07-25,137.3
2022-07-26,137.38
2022-07-27,137.58
2022-07-28,137.86
2022-07-29,137.93
2022-08-01,138.9
2022-08-02,139.07
2022-08-03,139.31
2022-08-04,139.86
2022-08-05,139.87
2022-08-08,140.59
2022-08-09,140.77
2022-08-10,140.7
2022-08-11,140.98
2022-08-12,141.5
2022-08-16,142.41
2022-08-17,142.52
2022-08-18,142.39
2022-08-19,143.06
2022-08-22,144.04
2022-08-23,144.03
2022-08-24,144.29
2022-08-25,144.58
2022-08-26,144.73
2022-08-29,145.45
2022-08-30,145.62
2022-08-31,145.77
2022-09-01,145.86
2022-09-05,147.05
