fecha,valor
1994-01-31,347
1994-02-28,339
1994-03-31,270
1994-04-30,274
1994-05-31,310
1994-06-30,335
1994-07-31,283
1994-08-31,331
1994-09-30,276
1994-10-31,295
1994-11-30,312
1994-12-31,262
1995-01-31,255
1995-02-28,308
1995-03-31,269
1995-04-30,393
1995-05-31,408
1995-06-30,433
1995-07-31,435
1995-08-31,454
1995-09-30,470
1995-10-31,538
1995-11-30,552
1995-12-31,502
1996-01-31,520
1996-02-29,588
1996-03-31,575
1996-04-30,519
1996-05-31,560
1996-06-30,629
1996-07-31,571
1996-08-31,568
1996-09-30,541
1996-10-31,692
1996-11-30,614
1996-12-31,588
1997-01-31,591
1997-02-28,542
1997-03-31,545
1997-04-30,639
1997-05-31,610
1997-06-30,623
1997-07-31,609
1997-08-31,645
1997-09-30,639
1997-10-31,626
1997-11-30,589
1997-12-31,566
1998-01-31,671
1998-02-28,719
1998-03-31,824
1998-04-30,782
1998-05-31,824
1998-06-30,837
1998-07-31,793
1998-08-31,860
1998-09-30,796
1998-10-31,804
1998-11-30,888
1998-12-31,783
1999-01-31,744
1999-02-28,797
1999-03-31,683
1999-04-30,724
1999-05-31,702
1999-06-30,661
1999-07-31,657
1999-08-31,800
1999-09-30,826
1999-10-31,740
1999-11-30,778
1999-12-31,739
2000-01-31,601
2000-02-29,688
2000-03-31,647
2000-04-30,626
2000-05-31,612
2000-06-30,623
2000-07-31,614
2000-08-31,623
2000-09-30,608
2000-10-31,573
2000-11-30,617
2000-12-31,580
2001-01-31,578
2001-02-28,554
2001-03-31,618
2001-04-30,546
2001-05-31,547
2001-06-30,564
2001-07-31,549
2001-08-31,630
2001-09-30,650
2001-10-31,655
2001-11-30,657
2001-12-31,634
2002-01-31,720
2002-02-28,843
2002-03-31,928
2002-04-30,903
2002-05-31,932
2002-06-30,933
2002-07-31,969
2002-08-31,916
2002-09-30,953
2002-10-31,957
2002-11-30,998
2002-12-31,923
2003-01-31,951
2003-02-28,976
2003-03-31,1008
2003-04-30,1031
2003-05-31,1082
2003-06-30,1124
2003-07-31,1114
2003-08-31,1135
2003-09-30,1224
2003-10-31,1214
2003-11-30,1205
2003-12-31,1231
2004-01-31,1223
2004-02-29,1247
2004-03-31,1292
2004-04-30,1245
2004-05-31,1299
2004-06-30,1343
2004-07-31,1303
2004-08-31,1342
2004-09-30,1448
2004-10-31,1397
2004-11-30,1405
2004-12-31,1391
2005-01-31,1454
2005-02-28,1492
2005-03-31,1442
2005-04-30,1566
